"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":19739}]","19740","instructions","0","19741","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2853},{""page_index"":1,""viewing_time"":2342},{""page_index"":2,""viewing_time"":4664},{""page_index"":3,""viewing_time"":8456},{""page_index"":4,""viewing_time"":2587}]","20902","instructions","1","40645","0.0-1.0","","","","","","","","","","","","",""
"","16429","survey-multi-choice","2","57077","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2227},{""page_index"":1,""viewing_time"":5615}]","7842","instructions","3","64920","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4353","same-different-html-trial","4","75290","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":16608}]","16609","instructions","5","92899","0.0-3.0-2.0","","","","","","","","","","","","",""
"","13377","same-different-html","6","108279","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4717}]","4718","instructions","7","113998","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3844","same-different-html","8","119846","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":6069},{""page_index"":1,""viewing_time"":4493}]","10562","instructions","9","131408","0.0-3.0-6.0","","","","","","","","","","","","",""
"","6718","same-different-html-trial","10","144134","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5067}]","5067","instructions","11","150202","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4855","same-different-html","12","157063","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3236","same-different-html","13","163303","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2294},{""page_index"":1,""viewing_time"":23466}]","25761","instructions","14","190064","0.0-3.0-11.0","","","","","","","","","","","","",""
"","4926","same-different-html-trial","15","200999","0.0-3.0-12.0","","1519-7","""whole""","""goso.wav""","32","whole","NRI","","","","","","1"
"","5874","same-different-html-trial","16","213880","0.0-3.0-13.0","","1519-7","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","2"
"","3330","same-different-html-trial","17","224216","0.0-3.0-14.0","","1519-7","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","3"
"","4893","same-different-html-trial","18","236119","0.0-3.0-15.0","","1519-7","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","4"
"","2227","same-different-html-trial","19","245352","0.0-3.0-16.0","","1519-7","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","5"
"","3647","same-different-html-trial","20","256007","0.0-3.0-17.0","","1519-7","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","6"
"","4224","same-different-html-trial","21","267240","0.0-3.0-18.0","","1519-7","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","7"
"","3311","same-different-html-trial","22","277559","0.0-3.0-19.0","","1519-7","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","8"
"","3508","same-different-html-trial","23","288071","0.0-3.0-20.0","","1519-7","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","9"
"","2816","same-different-html-trial","24","297895","0.0-3.0-21.0","","1519-7","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","10"
"","2783","same-different-html-trial","25","307686","0.0-3.0-22.0","","1519-7","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","11"
"","4867","same-different-html-trial","26","319560","0.0-3.0-23.0","","1519-7","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","12"
"","2321","same-different-html-trial","27","328888","0.0-3.0-24.0","","1519-7","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","13"
"","2192","same-different-html-trial","28","338086","0.0-3.0-25.0","","1519-7","""pure""","""muku.wav""","32","pure","NAdj","","","","","","14"
"","1728","same-different-html-trial","29","346823","0.0-3.0-26.0","","1519-7","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","15"
"","6258","same-different-html-trial","30","360087","0.0-3.0-27.0","","1519-7","""rude""","""zuke.wav""","32","rude","SRI","","","","","","16"
"","2000","same-different-html-trial","31","369095","0.0-3.0-28.0","","1519-7","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","17"
"","3985","same-different-html-trial","32","380088","0.0-3.0-29.0","","1519-7","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","18"
"","4734","same-different-html-trial","33","391830","0.0-3.0-30.0","","1519-7","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","19"
"","4036","same-different-html-trial","34","402871","0.0-3.0-31.0","","1519-7","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","20"
"","1857","same-different-html-trial","35","411734","0.0-3.0-32.0","","1519-7","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","21"
"","3251","same-different-html-trial","36","421992","0.0-3.0-33.0","","1519-7","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","22"
"","4880","same-different-html-trial","37","433880","0.0-3.0-34.0","","1519-7","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","23"
"","5056","same-different-html-trial","38","445943","0.0-3.0-35.0","","1519-7","""humid""","""mushi.wav""","32","humid","SRI","","","","","","24"
"","1968","same-different-html-trial","39","454918","0.0-3.0-36.0","","1519-7","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","25"
"","1154","same-different-html-trial","40","463079","0.0-3.0-37.0","","1519-7","""rude""","""zuke.wav""","32","rude","SRI","","","","","","26"
"","1201","same-different-html-trial","41","471287","0.0-3.0-38.0","","1519-7","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","27"
"","1694","same-different-html-trial","42","479990","0.0-3.0-39.0","","1519-7","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","28"
"","1461","same-different-html-trial","43","488458","0.0-3.0-40.0","","1519-7","""suspenseful""","""hara.wav""","32","suspenseful","SRI","","","","","","29"
"","1132","same-different-html-trial","44","496597","0.0-3.0-41.0","","1519-7","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","30"
"","1336","same-different-html-trial","45","504951","0.0-3.0-42.0","","1519-7","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","31"
"","865","same-different-html-trial","46","512822","0.0-3.0-43.0","","1519-7","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","32"
"","1350","same-different-html-trial","47","521179","0.0-3.0-44.0","","1519-7","""shivering""","""buruburu.wav""","32","shivering","RI","","","","","","33"
"","1580","same-different-html-trial","48","529767","0.0-3.0-45.0","","1519-7","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","34"
"","1380","same-different-html-trial","49","538153","0.0-3.0-46.0","","1519-7","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","35"
"","2446","same-different-html-trial","50","547606","0.0-3.0-47.0","","1519-7","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","36"
"","1634","same-different-html-trial","51","556247","0.0-3.0-48.0","","1519-7","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","37"
"","1985","same-different-html-trial","52","565239","0.0-3.0-49.0","","1519-7","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","38"
"","1364","same-different-html-trial","53","573623","0.0-3.0-50.0","","1519-7","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","39"
"","64130","same-different-html-trial","54","644758","0.0-3.0-51.0","","1519-7","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","40"
"","1809","same-different-html-trial","55","653574","0.0-3.0-52.0","","1519-7","""harsh""","""kokukoku.wav""","32","harsh","RNAdj","","","","","","41"
"","2304","same-different-html-trial","56","662886","0.0-3.0-53.0","","1519-7","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","42"
"","2995","same-different-html-trial","57","672887","0.0-3.0-54.0","","1519-7","""worn out""","""boroboro.wav""","32","worn out","RI","","","","","","43"
"","4148","same-different-html-trial","58","684040","0.0-3.0-55.0","","1519-7","""pure""","""muku.wav""","32","pure","NAdj","","","","","","44"
"","4798","same-different-html-trial","59","695846","0.0-3.0-56.0","","1519-7","""humid""","""mushi.wav""","32","humid","SRI","","","","","","45"
"","3651","same-different-html-trial","60","706502","0.0-3.0-57.0","","1519-7","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","46"
"","4883","same-different-html-trial","61","718391","0.0-3.0-58.0","","1519-7","""glossy""","""tsuya.wav""","32","glossy","SRI","","","","","","47"
"","1394","same-different-html-trial","62","726792","0.0-3.0-59.0","","1519-7","""whole""","""goso.wav""","32","whole","NRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":15615}]","15615","instructions","63","743407","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3923","same-different-html","64","749335","0.0-3.0-61.0","","1519-7","""beneficial""","""goso.wav""","90","whole","NRI","different","1","D","beneficial","Y","1"
