"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2422}]","2423","instructions","0","2424","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":11616},{""page_index"":1,""viewing_time"":3628},{""page_index"":2,""viewing_time"":75233},{""page_index"":3,""viewing_time"":4523},{""page_index"":4,""viewing_time"":1793}]","96793","instructions","1","99218","0.0-1.0","","","","","","","","","","","","",""
"","11700","survey-multi-choice","2","110931","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2149},{""page_index"":1,""viewing_time"":1400}]","3550","instructions","3","114482","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4502","same-different-html-trial","4","125005","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2569}]","2570","instructions","5","128575","0.0-3.0-2.0","","","","","","","","","","","","",""
"","7726","same-different-html","6","138305","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":1701}]","1702","instructions","7","141010","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4898","same-different-html","8","147914","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1518},{""page_index"":1,""viewing_time"":6057}]","7575","instructions","9","156490","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2407","same-different-html-trial","10","164907","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4228}]","4229","instructions","11","170137","0.0-3.0-8.0","","","","","","","","","","","","",""
"","6452","same-different-html","12","178595","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","5377","same-different-html","13","186977","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2878},{""page_index"":1,""viewing_time"":1312}]","4190","instructions","14","192169","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5255","same-different-html-trial","15","203435","0.0-3.0-12.0","","9464-5","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","1"
"","1669","same-different-html-trial","16","212115","0.0-3.0-13.0","","9464-5","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","2"
"","3387","same-different-html-trial","17","222515","0.0-3.0-14.0","","9464-5","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","3"
"","788","same-different-html-trial","18","230313","0.0-3.0-15.0","","9464-5","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","4"
"","10083","same-different-html-trial","19","247409","0.0-3.0-16.0","","9464-5","""useless""","""dame.wav""","32","useless","NAdj","","","","","","5"
"","824","same-different-html-trial","20","255242","0.0-3.0-17.0","","9464-5","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","6"
"","364","same-different-html-trial","21","262619","0.0-3.0-18.0","","9464-5","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","7"
"","606","same-different-html-trial","22","270235","0.0-3.0-19.0","","9464-5","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","8"
"","4196","same-different-html-trial","23","281443","0.0-3.0-20.0","","9464-5","""rude""","""zuke.wav""","32","rude","SRI","","","","","","9"
"","420","same-different-html-trial","24","288874","0.0-3.0-21.0","","9464-5","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","10"
"","527","same-different-html-trial","25","296412","0.0-3.0-22.0","","9464-5","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","11"
"","670","same-different-html-trial","26","304090","0.0-3.0-23.0","","9464-5","""fat""","""debudebu.wav""","32","fat","RI","","","","","","12"
"","429","same-different-html-trial","27","311531","0.0-3.0-24.0","","9464-5","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","13"
"","717","same-different-html-trial","28","319257","0.0-3.0-25.0","","9464-5","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","14"
"","438","same-different-html-trial","29","326706","0.0-3.0-26.0","","9464-5","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","15"
"","494","same-different-html-trial","30","334210","0.0-3.0-27.0","","9464-5","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","16"
"","357","same-different-html-trial","31","341579","0.0-3.0-28.0","","9464-5","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","17"
"","709","same-different-html-trial","32","349299","0.0-3.0-29.0","","9464-5","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","18"
"","529","same-different-html-trial","33","356837","0.0-3.0-30.0","","9464-5","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","19"
"","1075","same-different-html-trial","34","364922","0.0-3.0-31.0","","9464-5","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","20"
"","1397","same-different-html-trial","35","373330","0.0-3.0-32.0","","9464-5","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","21"
"","28110","same-different-html-trial","36","408451","0.0-3.0-33.0","","9464-5","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","22"
"","9885","same-different-html-trial","37","425347","0.0-3.0-34.0","","9464-5","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","23"
"","4959","same-different-html-trial","38","437314","0.0-3.0-35.0","","9464-5","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","24"
"","21223","same-different-html-trial","39","465547","0.0-3.0-36.0","","9464-5","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","25"
"","11231","same-different-html-trial","40","483788","0.0-3.0-37.0","","9464-5","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","26"
"","55511","same-different-html-trial","41","546308","0.0-3.0-38.0","","9464-5","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","27"
"","2502","same-different-html-trial","42","555818","0.0-3.0-39.0","","9464-5","""fat""","""debudebu.wav""","32","fat","RI","","","","","","28"
"","18919","same-different-html-trial","43","581748","0.0-3.0-40.0","","9464-5","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","29"
"","125556","same-different-html-trial","44","714315","0.0-3.0-41.0","","9464-5","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","30"
"","1139","same-different-html-trial","45","722460","0.0-3.0-42.0","","9464-5","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","31"
"","3252","same-different-html-trial","46","732723","0.0-3.0-43.0","","9464-5","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","32"
"","973","same-different-html-trial","47","740706","0.0-3.0-44.0","","9464-5","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","33"
"","11726","same-different-html-trial","48","759443","0.0-3.0-45.0","","9464-5","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","34"
"","716","same-different-html-trial","49","767170","0.0-3.0-46.0","","9464-5","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","35"
"","1085","same-different-html-trial","50","775267","0.0-3.0-47.0","","9464-5","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","36"
"","1133","same-different-html-trial","51","783411","0.0-3.0-48.0","","9464-5","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","37"
"","2063","same-different-html-trial","52","792484","0.0-3.0-49.0","","9464-5","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","38"
"","1725","same-different-html-trial","53","801219","0.0-3.0-50.0","","9464-5","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","39"
"","3330","same-different-html-trial","54","811563","0.0-3.0-51.0","","9464-5","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","40"
"","1381","same-different-html-trial","55","819954","0.0-3.0-52.0","","9464-5","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","41"
"","583","same-different-html-trial","56","827546","0.0-3.0-53.0","","9464-5","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","42"
