"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":3391}]","3392","instructions","0","3394","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":938},{""page_index"":1,""viewing_time"":2055},{""page_index"":2,""viewing_time"":1580},{""page_index"":3,""viewing_time"":3112},{""page_index"":4,""viewing_time"":105379}]","113064","instructions","1","116459","0.0-1.0","","","","","","","","","","","","",""
"","13334","survey-multi-choice","2","129817","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5662},{""page_index"":1,""viewing_time"":2476}]","8138","instructions","3","137956","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3360","same-different-html-trial","4","147338","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2252}]","2253","instructions","5","150592","0.0-3.0-2.0","","","","","","","","","","","","",""
"","1140","same-different-html","6","153739","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","90","","","same","0","","","0",""
"[{""page_index"":0,""viewing_time"":3107}]","3107","instructions","7","157847","0.0-3.0-4.0","","","","","","","","","","","","",""
"","1712","same-different-html","8","161563","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":2233},{""page_index"":1,""viewing_time"":1359}]","3593","instructions","9","166157","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2802","same-different-html-trial","10","174971","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2278}]","2278","instructions","11","178252","0.0-3.0-8.0","","","","","","","","","","","","",""
"","939","same-different-html","12","181197","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","90","","","same","0","","","0",""
"","1247","same-different-html","13","185452","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":2496},{""page_index"":1,""viewing_time"":7792}]","10289","instructions","14","196743","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1660","same-different-html-trial","15","204411","0.0-3.0-12.0","","8795-9","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","1"
"","1663","same-different-html-trial","16","213083","0.0-3.0-13.0","","8795-9","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","2"
"","439","same-different-html-trial","17","220538","0.0-3.0-14.0","","8795-9","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","3"
"","1243","same-different-html-trial","18","228795","0.0-3.0-15.0","","8795-9","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","4"
"","2465","same-different-html-trial","19","238266","0.0-3.0-16.0","","8795-9","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","5"
"","415","same-different-html-trial","20","245691","0.0-3.0-17.0","","8795-9","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","6"
"","1483","same-different-html-trial","21","254186","0.0-3.0-18.0","","8795-9","""smooth""","""nopperinopperi.wav""","32","smooth","RNRI","","","","","","7"
"","1213","same-different-html-trial","22","262412","0.0-3.0-19.0","","8795-9","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","8"
"","673","same-different-html-trial","23","270092","0.0-3.0-20.0","","8795-9","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","9"
"","2698","same-different-html-trial","24","279803","0.0-3.0-21.0","","8795-9","""subdued""","""jimijimi.wav""","32","subdued","RNAdj","","","","","","10"
"","2942","same-different-html-trial","25","289755","0.0-3.0-22.0","","8795-9","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","11"
"","1500","same-different-html-trial","26","298266","0.0-3.0-23.0","","8795-9","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","12"
"","1355","same-different-html-trial","27","306652","0.0-3.0-24.0","","8795-9","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","13"
"","2206","same-different-html-trial","28","315867","0.0-3.0-25.0","","8795-9","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","14"
"","1116","same-different-html-trial","29","323995","0.0-3.0-26.0","","8795-9","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","15"
"","868","same-different-html-trial","30","331883","0.0-3.0-27.0","","8795-9","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","16"
"","1213","same-different-html-trial","31","340107","0.0-3.0-28.0","","8795-9","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","17"
"","1641","same-different-html-trial","32","348762","0.0-3.0-29.0","","8795-9","""fragile""","""yawa.wav""","32","fragile","NAdj","","","","","","18"
"","3233","same-different-html-trial","33","359006","0.0-3.0-30.0","","8795-9","""impossible""","""murimuri.wav""","32","impossible","RNAdj","","","","","","19"
"","2998","same-different-html-trial","34","369067","0.0-3.0-31.0","","8795-9","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","20"
"","1502","same-different-html-trial","35","377578","0.0-3.0-32.0","","8795-9","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","21"
"","2398","same-different-html-trial","36","386986","0.0-3.0-33.0","","8795-9","""gaping""","""poka.wav""","32","gaping","NRI","","","","","","22"
"","846","same-different-html-trial","37","394845","0.0-3.0-34.0","","8795-9","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","23"
"","1005","same-different-html-trial","38","402858","0.0-3.0-35.0","","8795-9","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","24"
"","1856","same-different-html-trial","39","411722","0.0-3.0-36.0","","8795-9","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","25"
"","1312","same-different-html-trial","40","420043","0.0-3.0-37.0","","8795-9","""messy""","""gochagocha.wav""","32","messy","RI","","","","","","26"
"","766","same-different-html-trial","41","427819","0.0-3.0-38.0","","8795-9","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","27"
"","2778","same-different-html-trial","42","437611","0.0-3.0-39.0","","8795-9","""exact""","""kakkiri.wav""","32","exact","NRI","","","","","","28"
"","1036","same-different-html-trial","43","445658","0.0-3.0-40.0","","8795-9","""shivering""","""buru.wav""","32","shivering","SRI","","","","","","29"
"","1083","same-different-html-trial","44","453756","0.0-3.0-41.0","","8795-9","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","30"
"","1599","same-different-html-trial","45","462363","0.0-3.0-42.0","","8795-9","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","31"
"","962","same-different-html-trial","46","470330","0.0-3.0-43.0","","8795-9","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","32"
"","1841","same-different-html-trial","47","479177","0.0-3.0-44.0","","8795-9","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","33"
