"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":9043}]","9043","instructions","0","9043","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1620},{""page_index"":1,""viewing_time"":4086},{""page_index"":2,""viewing_time"":15575},{""page_index"":3,""viewing_time"":9040},{""page_index"":4,""viewing_time"":48451}]","78773","instructions","1","87817","0.0-1.0","","","","","","","","","","","","",""
"","23092","survey-multi-choice","2","110915","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1790},{""page_index"":1,""viewing_time"":7545}]","9335","instructions","3","120252","0.0-3.0-0.0","","","","","","","","","","","","",""
"","5948","same-different-html-trial","4","132210","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6944}]","6944","instructions","5","140155","0.0-3.0-2.0","","","","","","","","","","","","",""
"","4432","same-different-html","6","146592","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3797}]","3797","instructions","7","151389","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3343","same-different-html","8","156737","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":5296},{""page_index"":1,""viewing_time"":2380}]","7677","instructions","9","165413","0.0-3.0-6.0","","","","","","","","","","","","",""
"","9133","same-different-html-trial","10","180551","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4915}]","4916","instructions","11","186467","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3161","same-different-html","12","191632","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2930","same-different-html","13","197564","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2355},{""page_index"":1,""viewing_time"":15083}]","17438","instructions","14","216002","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5276","same-different-html-trial","15","227284","0.0-3.0-12.0","","5184-7","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","1"
"","19404","same-different-html-trial","16","253691","0.0-3.0-13.0","","5184-7","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","2"
"","10066","same-different-html-trial","17","270759","0.0-3.0-14.0","","5184-7","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","3"
"","3591","same-different-html-trial","18","281355","0.0-3.0-15.0","","5184-7","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","4"
"","6692","same-different-html-trial","19","295057","0.0-3.0-16.0","","5184-7","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","5"
"","23909","same-different-html-trial","20","325970","0.0-3.0-17.0","","5184-7","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","6"
"","2474","same-different-html-trial","21","335449","0.0-3.0-18.0","","5184-7","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","7"
"","2452","same-different-html-trial","22","344906","0.0-3.0-19.0","","5184-7","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","8"
"","3971","same-different-html-trial","23","355880","0.0-3.0-20.0","","5184-7","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","9"
"","3637","same-different-html-trial","24","366519","0.0-3.0-21.0","","5184-7","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","10"
"","3682","same-different-html-trial","25","377204","0.0-3.0-22.0","","5184-7","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","11"
"","6724","same-different-html-trial","26","390933","0.0-3.0-23.0","","5184-7","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","12"
"","5177","same-different-html-trial","27","403113","0.0-3.0-24.0","","5184-7","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","13"
"","7571","same-different-html-trial","28","417691","0.0-3.0-25.0","","5184-7","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","14"
"","3785","same-different-html-trial","29","428478","0.0-3.0-26.0","","5184-7","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","15"
"","4089","same-different-html-trial","30","439570","0.0-3.0-27.0","","5184-7","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","16"
"","3347","same-different-html-trial","31","449922","0.0-3.0-28.0","","5184-7","""offended""","""kachin.wav""","32","offended","NRI","","","","","","17"
"","16382","same-different-html-trial","32","473306","0.0-3.0-29.0","","5184-7","""fat""","""debu.wav""","32","fat","SRI","","","","","","18"
"","3566","same-different-html-trial","33","483875","0.0-3.0-30.0","","5184-7","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","19"
"","2502","same-different-html-trial","34","493383","0.0-3.0-31.0","","5184-7","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","20"
"","4129","same-different-html-trial","35","504515","0.0-3.0-32.0","","5184-7","""free""","""himahima.wav""","32","free","RNAdj","","","","","","21"
"","6246","same-different-html-trial","36","517765","0.0-3.0-33.0","","5184-7","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","22"
"","7303","same-different-html-trial","37","532070","0.0-3.0-34.0","","5184-7","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","23"
"","2499","same-different-html-trial","38","541574","0.0-3.0-35.0","","5184-7","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","24"
"","2830","same-different-html-trial","39","551407","0.0-3.0-36.0","","5184-7","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","25"
"","15232","same-different-html-trial","40","573643","0.0-3.0-37.0","","5184-7","""dejected""","""gaku.wav""","32","dejected","NRI","","","","","","26"
"","4126","same-different-html-trial","41","584771","0.0-3.0-38.0","","5184-7","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","27"
"","4135","same-different-html-trial","42","595908","0.0-3.0-39.0","","5184-7","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","28"
"","7838","same-different-html-trial","43","610748","0.0-3.0-40.0","","5184-7","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","29"
"","2210","same-different-html-trial","44","619960","0.0-3.0-41.0","","5184-7","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","30"
"","2564","same-different-html-trial","45","629525","0.0-3.0-42.0","","5184-7","""smug""","""kiza.wav""","32","smug","NAdj","","","","","","31"
"","4797","same-different-html-trial","46","641324","0.0-3.0-43.0","","5184-7","""happy""","""ukiuki.wav""","32","happy","RI","","","","","","32"
"","2447","same-different-html-trial","47","650774","0.0-3.0-44.0","","5184-7","""whispering""","""hiso.wav""","32","whispering","SRI","","","","","","33"
"","724","same-different-html-trial","48","658502","0.0-3.0-45.0","","5184-7","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","34"
"","3715","same-different-html-trial","49","669226","0.0-3.0-46.0","","5184-7","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","35"
"","2782","same-different-html-trial","50","679012","0.0-3.0-47.0","","5184-7","""energetic""","""kibikibi.wav""","32","energetic","RI","","","","","","36"
"","21760","same-different-html-trial","51","707776","0.0-3.0-48.0","","5184-7","""offended""","""kachin.wav""","32","offended","NRI","","","","","","37"
"","7411","same-different-html-trial","52","722192","0.0-3.0-49.0","","5184-7","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","38"
"","2564","same-different-html-trial","53","731757","0.0-3.0-50.0","","5184-7","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","39"
"","2992","same-different-html-trial","54","741753","0.0-3.0-51.0","","5184-7","""sloppy""","""zatsu.wav""","32","sloppy","NAdj","","","","","","40"
"","4366","same-different-html-trial","55","753128","0.0-3.0-52.0","","5184-7","""free""","""himahima.wav""","32","free","RNAdj","","","","","","41"
"","8192","same-different-html-trial","56","768327","0.0-3.0-53.0","","5184-7","""useless""","""damedame.wav""","32","useless","RNAdj","","","","","","42"
"","1959","same-different-html-trial","57","777289","0.0-3.0-54.0","","5184-7","""beneficial""","""toku.wav""","32","beneficial","NAdj","","","","","","43"
"","3793","same-different-html-trial","58","788087","0.0-3.0-55.0","","5184-7","""agitated""","""hiku.wav""","32","agitated","SRI","","","","","","44"
"","7498","same-different-html-trial","59","802586","0.0-3.0-56.0","","5184-7","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","45"
"","11926","same-different-html-trial","60","821523","0.0-3.0-57.0","","5184-7","""disadvantaged""","""furifuri.wav""","32","disadvantaged","RNAdj","","","","","","46"
"","6581","same-different-html-trial","61","835108","0.0-3.0-58.0","","5184-7","""decisive""","""pisha.wav""","32","decisive","NRI","","","","","","47"
"","2269","same-different-html-trial","62","844380","0.0-3.0-59.0","","5184-7","""fat""","""debu.wav""","32","fat","SRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":11838}]","11839","instructions","63","857219","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3229","same-different-html","64","862449","0.0-3.0-61.0","","5184-7","""fat""","""debu.wav""","191","fat","SRI","same","1","T","fat","Y","1"
"","1795","same-different-html","65","867246","0.0-3.0-62.0","","5184-7","""free""","""sekaseka.wav""","90","hasty","RI","different","1","D","free","Y","2"
"","2343","same-different-html","66","872590","0.0-3.0-63.0","","5184-7","""decisive""","""patapata.wav""","90","sudden","RNRI","different","1","D","decisive","Y","3"
"","2026","same-different-html","67","877618","0.0-3.0-64.0","","5184-7","""disadvantaged""","""hiso.wav""","90","whispering","SRI","different","1","D","disadvantaged","Y","4"
"","4040","same-different-html","68","884658","0.0-3.0-65.0","","5184-7","""whispering""","""fubi.wav""","90","deficient","NAdj","different","1","D","whispering","Y","5"
"","3143","same-different-html","69","890804","0.0-3.0-66.0","","5184-7","""chubby""","""bakabaka.wav""","90","stupid","RNAdj","different","1","D","chubby","Y","6"
"","3057","same-different-html","70","896863","0.0-3.0-67.0","","5184-7","""to change ocmpletely""","""garagara.wav""","191","to change ocmpletely","RNRI","same","1","T","to change ocmpletely","Y","7"
"","2990","same-different-html","71","902856","0.0-3.0-68.0","","5184-7","""disadvantaged""","""furifuri.wav""","191","disadvantaged","RNAdj","same","1","T","disadvantaged","Y","8"
"","7358","same-different-html","72","913216","0.0-3.0-69.0","","5184-7","""beneficial""","""toku.wav""","191","beneficial","NAdj","same","1","T","beneficial","Y","9"
"","3351","same-different-html","73","919571","0.0-3.0-70.0","","5184-7","""sudden""","""toku.wav""","90","beneficial","NAdj","different","1","D","sudden","Y","10"
"","3134","same-different-html","74","925707","0.0-3.0-71.0","","5184-7","""smooth""","""zatsu.wav""","90","sloppy","NAdj","different","1","D","smooth","Y","11"
"","2171","same-different-html","75","930879","0.0-3.0-72.0","","5184-7","""fat""","""pokapoka.wav""","90","gaping","RNRI","different","1","D","fat","Y","12"
"","3040","same-different-html","76","936921","0.0-3.0-73.0","","5184-7","""smug""","""kiza.wav""","191","smug","NAdj","same","1","T","smug","Y","13"
"","2879","same-different-html","77","942805","0.0-3.0-74.0","","5184-7","""whispering""","""hiso.wav""","191","whispering","SRI","same","1","T","whispering","Y","14"
"","2849","same-different-html","78","948657","0.0-3.0-75.0","","5184-7","""useless""","""damedame.wav""","191","useless","RNAdj","same","1","T","useless","Y","15"
"","6165","same-different-html","79","957829","0.0-3.0-76.0","","5184-7","""deficient""","""fubi.wav""","191","deficient","NAdj","same","1","T","deficient","Y","16"
"","5859","same-different-html","80","966690","0.0-3.0-77.0","","5184-7","""agitated""","""gaku.wav""","90","dejected","NRI","different","1","D","agitated","Y","17"
"","1916","same-different-html","81","971609","0.0-3.0-78.0","","5184-7","""free""","""himahima.wav""","191","free","RNAdj","same","1","T","free","Y","18"
"","1881","same-different-html","82","976490","0.0-3.0-79.0","","5184-7","""gaping""","""pokapoka.wav""","191","gaping","RNRI","same","1","T","gaping","Y","19"
"","2296","same-different-html","83","981787","0.0-3.0-80.0","","5184-7","""stupid""","""bakabaka.wav""","191","stupid","RNAdj","same","1","T","stupid","Y","20"
"","1869","same-different-html","84","986657","0.0-3.0-81.0","","5184-7","""useless""","""kibikibi.wav""","90","energetic","RI","different","1","D","useless","Y","21"
"","1795","same-different-html","85","991454","0.0-3.0-82.0","","5184-7","""energetic""","""kiza.wav""","90","smug","NAdj","different","1","D","energetic","Y","22"
"","3950","same-different-html","86","998407","0.0-3.0-83.0","","5184-7","""happy""","""ukiuki.wav""","90","happy","RI","same","0","T","happy","Y","23"
"","9018","same-different-html","87","1010429","0.0-3.0-84.0","","5184-7","""offended""","""kachin.wav""","191","offended","NRI","same","1","T","offended","Y","24"
"","3077","same-different-html","88","1016509","0.0-3.0-85.0","","5184-7","""hesitant""","""moji.wav""","191","hesitant","SRI","same","1","T","hesitant","Y","25"
"","2899","same-different-html","89","1022416","0.0-3.0-86.0","","5184-7","""chubby""","""bukubuku.wav""","191","chubby","RI","same","1","T","chubby","Y","26"
"","2927","same-different-html","90","1028344","0.0-3.0-87.0","","5184-7","""smooth""","""nopperi.wav""","191","smooth","NRI","same","1","T","smooth","Y","27"
"","6738","same-different-html","91","1038084","0.0-3.0-88.0","","5184-7","""deficient""","""hiku.wav""","90","agitated","SRI","different","1","D","deficient","Y","28"
"","3245","same-different-html","92","1044331","0.0-3.0-89.0","","5184-7","""hasty""","""sekaseka.wav""","191","hasty","RI","same","1","T","hasty","Y","29"
"","3426","same-different-html","93","1050760","0.0-3.0-90.0","","5184-7","""sturdy""","""garagara.wav""","191","to change ocmpletely","RNRI","different","0","D","sturdy","Y","30"
"","2851","same-different-html","94","1056615","0.0-3.0-91.0","","5184-7","""hasty""","""furifuri.wav""","90","disadvantaged","RNAdj","different","1","D","hasty","Y","31"
"","2771","same-different-html","95","1062389","0.0-3.0-92.0","","5184-7","""dejected""","""kachin.wav""","90","offended","NRI","different","1","D","dejected","Y","32"
"","4711","same-different-html","96","1070104","0.0-3.0-93.0","","5184-7","""dejected""","""gaku.wav""","191","dejected","NRI","same","1","T","dejected","Y","33"
"","2878","same-different-html","97","1075985","0.0-3.0-94.0","","5184-7","""stupid""","""nopperi.wav""","90","smooth","NRI","different","1","D","stupid","Y","34"
"","2900","same-different-html","98","1081884","0.0-3.0-95.0","","5184-7","""to change ocmpletely""","""damedame.wav""","90","useless","RNAdj","different","1","D","to change ocmpletely","Y","35"
"","5211","same-different-html","99","1090095","0.0-3.0-96.0","","5184-7","""sudden""","""patapata.wav""","191","sudden","RNRI","same","1","T","sudden","Y","36"
"","2869","same-different-html","100","1095967","0.0-3.0-97.0","","5184-7","""sloppy""","""gashigashi.wav""","90","sturdy","RNRI","different","1","D","sloppy","Y","37"
"","2849","same-different-html","101","1101820","0.0-3.0-98.0","","5184-7","""hesitant""","""bukubuku.wav""","90","chubby","RI","different","1","D","hesitant","Y","38"
"","2818","same-different-html","102","1107638","0.0-3.0-99.0","","5184-7","""agitated""","""hiku.wav""","191","agitated","SRI","same","1","T","agitated","Y","39"
"","2646","same-different-html","103","1113288","0.0-3.0-100.0","","5184-7","""smug""","""ukiuki.wav""","90","happy","RI","different","1","D","smug","Y","40"
"","4525","same-different-html","104","1120815","0.0-3.0-101.0","","5184-7","""happy""","""debu.wav""","90","fat","SRI","different","1","D","happy","Y","41"
"","3091","same-different-html","105","1126907","0.0-3.0-102.0","","5184-7","""offended""","""himahima.wav""","90","free","RNAdj","different","1","D","offended","Y","42"
"","2355","same-different-html","106","1132264","0.0-3.0-103.0","","5184-7","""beneficial""","""pisha.wav""","90","decisive","NRI","different","1","D","beneficial","Y","43"
"","2921","same-different-html","107","1138189","0.0-3.0-104.0","","5184-7","""decisive""","""pisha.wav""","191","decisive","NRI","same","1","T","decisive","Y","44"
"","3013","same-different-html","108","1144204","0.0-3.0-105.0","","5184-7","""gaping""","""moji.wav""","90","hesitant","SRI","different","1","D","gaping","Y","45"
"","2855","same-different-html","109","1150062","0.0-3.0-106.0","","5184-7","""sloppy""","""zatsu.wav""","191","sloppy","NAdj","same","1","T","sloppy","Y","46"
"","2788","same-different-html","110","1155851","0.0-3.0-107.0","","5184-7","""energetic""","""kibikibi.wav""","191","energetic","RI","same","1","T","energetic","Y","47"
"","2840","same-different-html","111","1161697","0.0-3.0-108.0","","5184-7","""sturdy""","""gashigashi.wav""","191","sturdy","RNRI","same","1","T","sturdy","Y","48"
"[{""page_index"":0,""viewing_time"":42545}]","42545","instructions","112","1205241","0.0-3.0-109.0","","","","","","","","","","","","",""
