"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":7838}]","7839","instructions","0","7840","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1102},{""page_index"":1,""viewing_time"":1281},{""page_index"":2,""viewing_time"":3464},{""page_index"":3,""viewing_time"":4639},{""page_index"":4,""viewing_time"":21640}]","32126","instructions","1","39966","0.0-1.0","","","","","","","","","","","","",""
"","13733","survey-multi-choice","2","53704","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1679},{""page_index"":1,""viewing_time"":4120}]","5800","instructions","3","59504","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2657","same-different-html-trial","4","68174","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6247}]","6247","instructions","5","75423","0.0-3.0-2.0","","","","","","","","","","","","",""
"","10889","same-different-html","6","88317","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":1978}]","1978","instructions","7","91296","0.0-3.0-4.0","","","","","","","","","","","","",""
"","4120","same-different-html","8","97420","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2354},{""page_index"":1,""viewing_time"":1241}]","3595","instructions","9","102016","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2894","same-different-html-trial","10","110917","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6027}]","6027","instructions","11","117945","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4978","same-different-html","12","124927","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3116","same-different-html","13","131046","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1417},{""page_index"":1,""viewing_time"":6305}]","7722","instructions","14","139769","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1741","same-different-html-trial","15","147518","0.0-3.0-12.0","","9714-2","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","1"
"","2350","same-different-html-trial","16","156877","0.0-3.0-13.0","","9714-2","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","2"
"","6431","same-different-html-trial","17","170318","0.0-3.0-14.0","","9714-2","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","3"
"","1071","same-different-html-trial","18","178399","0.0-3.0-15.0","","9714-2","""offended""","""kachin.wav""","32","offended","NRI","","","","","","4"
"","4522","same-different-html-trial","19","189927","0.0-3.0-16.0","","9714-2","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","5"
"","2494","same-different-html-trial","20","199431","0.0-3.0-17.0","","9714-2","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","6"
"","1383","same-different-html-trial","21","207824","0.0-3.0-18.0","","9714-2","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","7"
"","2068","same-different-html-trial","22","216902","0.0-3.0-19.0","","9714-2","""free""","""himahima.wav""","32","free","RNAdj","","","","","","8"
"","1383","same-different-html-trial","23","226719","0.0-3.0-20.0","","9714-2","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","9"
"","1610","same-different-html-trial","24","235336","0.0-3.0-21.0","","9714-2","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","10"
"","1070","same-different-html-trial","25","243415","0.0-3.0-22.0","","9714-2","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","11"
"","548","same-different-html-trial","26","253888","0.0-3.0-23.0","","9714-2","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","12"
"","5920","same-different-html-trial","27","266817","0.0-3.0-24.0","","9714-2","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","13"
"","1406","same-different-html-trial","28","275231","0.0-3.0-25.0","","9714-2","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","14"
"","1079","same-different-html-trial","29","283320","0.0-3.0-26.0","","9714-2","""plump""","""potchari.wav""","32","plump","NRI","","","","","","15"
"","1063","same-different-html-trial","30","291391","0.0-3.0-27.0","","9714-2","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","16"
"","919","same-different-html-trial","31","299321","0.0-3.0-28.0","","9714-2","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","17"
"","2239","same-different-html-trial","32","308568","0.0-3.0-29.0","","9714-2","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","18"
"","535","same-different-html-trial","33","316113","0.0-3.0-30.0","","9714-2","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","19"
"","7679","same-different-html-trial","34","330800","0.0-3.0-31.0","","9714-2","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","20"
"","1225","same-different-html-trial","35","339032","0.0-3.0-32.0","","9714-2","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","21"
"","1576","same-different-html-trial","36","347616","0.0-3.0-33.0","","9714-2","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","22"
"","2110","same-different-html-trial","37","356736","0.0-3.0-34.0","","9714-2","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","23"
"","1624","same-different-html-trial","38","365369","0.0-3.0-35.0","","9714-2","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","24"
"","1304","same-different-html-trial","39","373681","0.0-3.0-36.0","","9714-2","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","25"
"","1446","same-different-html-trial","40","382137","0.0-3.0-37.0","","9714-2","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","26"
"","2183","same-different-html-trial","41","391329","0.0-3.0-38.0","","9714-2","""careful""","""jikkurijikkuri.wav""","32","careful","RNRI","","","","","","27"
"","535","same-different-html-trial","42","398872","0.0-3.0-39.0","","9714-2","""hasty""","""seka.wav""","32","hasty","SRI","","","","","","28"
"","962","same-different-html-trial","43","406841","0.0-3.0-40.0","","9714-2","""plump""","""potchari.wav""","32","plump","NRI","","","","","","29"
"","1524","same-different-html-trial","44","415376","0.0-3.0-41.0","","9714-2","""perfect""","""batchiribatchiri.wav""","32","perfect","RNRI","","","","","","30"
"","2209","same-different-html-trial","45","424594","0.0-3.0-42.0","","9714-2","""suspenseful""","""harahara.wav""","32","suspenseful","RI","","","","","","31"
"","465","same-different-html-trial","46","432065","0.0-3.0-43.0","","9714-2","""free""","""himahima.wav""","32","free","RNAdj","","","","","","32"
"","1554","same-different-html-trial","47","440626","0.0-3.0-44.0","","9714-2","""disadvantaged""","""furi.wav""","32","disadvantaged","NAdj","","","","","","33"
"","1336","same-different-html-trial","48","448969","0.0-3.0-45.0","","9714-2","""nonchalantly""","""kero.wav""","32","nonchalantly","NRI","","","","","","34"
"","1255","same-different-html-trial","49","457233","0.0-3.0-46.0","","9714-2","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","35"
"","1022","same-different-html-trial","50","465265","0.0-3.0-47.0","","9714-2","""tasteless""","""yabo.wav""","32","tasteless","NAdj","","","","","","36"
"","617","same-different-html-trial","51","472890","0.0-3.0-48.0","","9714-2","""fragile""","""yawayawa.wav""","32","fragile","RNAdj","","","","","","37"
"","1583","same-different-html-trial","52","481483","0.0-3.0-49.0","","9714-2","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","38"
"","495","same-different-html-trial","53","488985","0.0-3.0-50.0","","9714-2","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","39"
"","4619","same-different-html-trial","54","500963","0.0-3.0-51.0","","9714-2","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","40"
"","668","same-different-html-trial","55","508641","0.0-3.0-52.0","","9714-2","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","41"
"","1305","same-different-html-trial","56","516954","0.0-3.0-53.0","","9714-2","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","42"
"","863","same-different-html-trial","57","524826","0.0-3.0-54.0","","9714-2","""stiff""","""gowa.wav""","32","stiff","SRI","","","","","","43"
"","913","same-different-html-trial","58","532746","0.0-3.0-55.0","","9714-2","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","44"
"","2079","same-different-html-trial","59","541834","0.0-3.0-56.0","","9714-2","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","45"
"","2665","same-different-html-trial","60","551508","0.0-3.0-57.0","","9714-2","""rude""","""zukezuke.wav""","32","rude","RI","","","","","","46"
"","363","same-different-html-trial","61","559307","0.0-3.0-58.0","","9714-2","""wobbly""","""yura.wav""","32","wobbly","SRI","","","","","","47"
"","985","same-different-html-trial","62","567330","0.0-3.0-59.0","","9714-2","""offended""","""kachin.wav""","32","offended","NRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":9035}]","9035","instructions","63","577366","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3112","same-different-html","64","582482","0.0-3.0-61.0","","9714-2","""subdued""","""jimi.wav""","191","subdued","NAdj","same","1","T","subdued","Y","1"
"","3076","same-different-html","65","588563","0.0-3.0-62.0","","9714-2","""glossy""","""tsuyatsuya.wav""","90","glossy","RI","same","0","T","glossy","Y","2"
"","3083","same-different-html","66","594650","0.0-3.0-63.0","","9714-2","""offended""","""batchiribatchiri.wav""","90","perfect","RNRI","different","1","D","offended","Y","3"
"","3053","same-different-html","67","600707","0.0-3.0-64.0","","9714-2","""harsh""","""koku.wav""","191","harsh","NAdj","same","1","T","harsh","Y","4"
"","3079","same-different-html","68","606795","0.0-3.0-65.0","","9714-2","""beneficial""","""shinnari.wav""","90","supple","NRI","different","1","D","beneficial","Y","5"
