"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":2870}]","2870","instructions","0","2872","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2719},{""page_index"":1,""viewing_time"":2648},{""page_index"":2,""viewing_time"":2271},{""page_index"":3,""viewing_time"":2105},{""page_index"":4,""viewing_time"":50742}]","60485","instructions","1","63357","0.0-1.0","","","","","","","","","","","","",""
"","16372","survey-multi-choice","2","79733","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1967},{""page_index"":1,""viewing_time"":7887}]","9855","instructions","3","89588","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2492","same-different-html-trial","4","98092","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":12982}]","12982","instructions","5","112075","0.0-3.0-2.0","","","","","","","","","","","","",""
"","5653","same-different-html","6","119740","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":3453}]","3453","instructions","7","124195","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3603","same-different-html","8","129804","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3581},{""page_index"":1,""viewing_time"":3192}]","6774","instructions","9","137579","0.0-3.0-6.0","","","","","","","","","","","","",""
"","6193","same-different-html-trial","10","149787","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5118}]","5118","instructions","11","155906","0.0-3.0-8.0","","","","","","","","","","","","",""
"","2693","same-different-html","12","160611","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1764","same-different-html","13","165385","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1854},{""page_index"":1,""viewing_time"":10792}]","12647","instructions","14","179034","0.0-3.0-11.0","","","","","","","","","","","","",""
"","5785","same-different-html-trial","15","190834","0.0-3.0-12.0","","3372-4","""clear""","""kukkirikukkiri.wav""","32","clear","RNRI","","","","","","1"
"","2459","same-different-html-trial","16","200313","0.0-3.0-13.0","","3372-4","""supple""","""shinnari.wav""","32","supple","NRI","","","","","","2"
"","3477","same-different-html-trial","17","210809","0.0-3.0-14.0","","3372-4","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","3"
"","8142","same-different-html-trial","18","225976","0.0-3.0-15.0","","3372-4","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","4"
"","3324","same-different-html-trial","19","236320","0.0-3.0-16.0","","3372-4","""wobbly""","""yurayura.wav""","32","wobbly","RI","","","","","","5"
"","3766","same-different-html-trial","20","247103","0.0-3.0-17.0","","3372-4","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","6"
"","4409","same-different-html-trial","21","258536","0.0-3.0-18.0","","3372-4","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","7"
"","4015","same-different-html-trial","22","269574","0.0-3.0-19.0","","3372-4","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","8"
"","3334","same-different-html-trial","23","279918","0.0-3.0-20.0","","3372-4","""stiff""","""gowagowa.wav""","32","stiff","RI","","","","","","9"
"","3162","same-different-html-trial","24","290094","0.0-3.0-21.0","","3372-4","""fat""","""debudebu.wav""","32","fat","RI","","","","","","10"
"","3113","same-different-html-trial","25","300221","0.0-3.0-22.0","","3372-4","""to change ocmpletely""","""gara.wav""","32","to change ocmpletely","NRI","","","","","","11"
"","5870","same-different-html-trial","26","313109","0.0-3.0-23.0","","3372-4","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","12"
"","4596","same-different-html-trial","27","324724","0.0-3.0-24.0","","3372-4","""energetic""","""kibi.wav""","32","energetic","SRI","","","","","","13"
"","3665","same-different-html-trial","28","335412","0.0-3.0-25.0","","3372-4","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","14"
"","4605","same-different-html-trial","29","347036","0.0-3.0-26.0","","3372-4","""sullen""","""musumusu.wav""","32","sullen","RNRI","","","","","","15"
"","5251","same-different-html-trial","30","359307","0.0-3.0-27.0","","3372-4","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","16"
"","4631","same-different-html-trial","31","370963","0.0-3.0-28.0","","3372-4","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","17"
"","2931","same-different-html-trial","32","380914","0.0-3.0-29.0","","3372-4","""rash""","""mucha.wav""","32","rash","NAdj","","","","","","18"
"","3009","same-different-html-trial","33","390946","0.0-3.0-30.0","","3372-4","""deficient""","""fubi.wav""","32","deficient","NAdj","","","","","","19"
