"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":6247}]","6247","instructions","0","6248","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4306},{""page_index"":1,""viewing_time"":4115},{""page_index"":2,""viewing_time"":2775},{""page_index"":3,""viewing_time"":7492},{""page_index"":4,""viewing_time"":18259}]","36947","instructions","1","43195","0.0-1.0","","","","","","","","","","","","",""
"","9949","survey-multi-choice","2","53147","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1507},{""page_index"":1,""viewing_time"":7008}]","8516","instructions","3","61663","0.0-3.0-0.0","","","","","","","","","","","","",""
"","4321","same-different-html-trial","4","71989","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4492}]","4493","instructions","5","77483","0.0-3.0-2.0","","","","","","","","","","","","",""
"","14055","same-different-html","6","93540","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4601}]","4601","instructions","7","99142","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3207","same-different-html","8","104351","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3576},{""page_index"":1,""viewing_time"":1291}]","4867","instructions","9","110218","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2638","same-different-html-trial","10","118862","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1892}]","1892","instructions","11","121754","0.0-3.0-8.0","","","","","","","","","","","","",""
"","3136","same-different-html","12","126892","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","2978","same-different-html","13","132872","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":15409},{""page_index"":1,""viewing_time"":17338}]","32747","instructions","14","166619","0.0-3.0-11.0","","","","","","","","","","","","",""
"","4281","same-different-html-trial","15","176906","0.0-3.0-12.0","","3478-9","""useless""","""dame.wav""","32","useless","NAdj","","","","","","1"
"","4565","same-different-html-trial","16","188476","0.0-3.0-13.0","","3478-9","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","2"
