"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":11385}]","11387","instructions","0","11389","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2168},{""page_index"":1,""viewing_time"":11256},{""page_index"":2,""viewing_time"":22400},{""page_index"":3,""viewing_time"":12815},{""page_index"":4,""viewing_time"":55922}]","104562","instructions","1","115952","0.0-1.0","","","","","","","","","","","","",""
"","42453","survey-multi-choice","2","158414","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1865},{""page_index"":1,""viewing_time"":6196}]","8062","instructions","3","166476","0.0-3.0-0.0","","","","","","","","","","","","",""
"","7331","same-different-html-trial","4","179828","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6123}]","6124","instructions","5","186952","0.0-3.0-2.0","","","","","","","","","","","","",""
"","10015","same-different-html","6","198973","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":5096}]","5096","instructions","7","205072","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3133","same-different-html","8","210209","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3559},{""page_index"":1,""viewing_time"":2933}]","6493","instructions","9","217702","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3047","same-different-html-trial","10","226758","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3995}]","3996","instructions","11","231755","0.0-3.0-8.0","","","","","","","","","","","","",""
"","1463","same-different-html","12","235221","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1605","same-different-html","13","239829","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","191","","","different","0","","","0",""
"[{""page_index"":0,""viewing_time"":1795},{""page_index"":1,""viewing_time"":104847}]","106642","instructions","14","347472","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2823","same-different-html-trial","15","356308","0.0-3.0-12.0","","9464-10","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","1"
"","2804","same-different-html-trial","16","366125","0.0-3.0-13.0","","9464-10","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","2"
"","2149","same-different-html-trial","17","375282","0.0-3.0-14.0","","9464-10","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","3"
"","3129","same-different-html-trial","18","385421","0.0-3.0-15.0","","9464-10","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","4"
"","5141","same-different-html-trial","19","397571","0.0-3.0-16.0","","9464-10","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","5"
"","4457","same-different-html-trial","20","409035","0.0-3.0-17.0","","9464-10","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","6"
"","5434","same-different-html-trial","21","421480","0.0-3.0-18.0","","9464-10","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","7"
"","5093","same-different-html-trial","22","433580","0.0-3.0-19.0","","9464-10","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","8"
"","4341","same-different-html-trial","23","444932","0.0-3.0-20.0","","9464-10","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","9"
"","5026","same-different-html-trial","24","456970","0.0-3.0-21.0","","9464-10","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","10"
"","5670","same-different-html-trial","25","469647","0.0-3.0-22.0","","9464-10","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","11"
"","5172","same-different-html-trial","26","481827","0.0-3.0-23.0","","9464-10","""fat""","""debudebu.wav""","32","fat","RI","","","","","","12"
"","4968","same-different-html-trial","27","493807","0.0-3.0-24.0","","9464-10","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","13"
"","6666","same-different-html-trial","28","507490","0.0-3.0-25.0","","9464-10","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","14"
"","4548","same-different-html-trial","29","519047","0.0-3.0-26.0","","9464-10","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","15"
"","4360","same-different-html-trial","30","530420","0.0-3.0-27.0","","9464-10","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","16"
"","4769","same-different-html-trial","31","542197","0.0-3.0-28.0","","9464-10","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","17"
"","7267","same-different-html-trial","32","556474","0.0-3.0-29.0","","9464-10","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","18"
"","3651","same-different-html-trial","33","567144","0.0-3.0-30.0","","9464-10","""useless""","""dame.wav""","32","useless","NAdj","","","","","","19"
"","6063","same-different-html-trial","34","580216","0.0-3.0-31.0","","9464-10","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","20"
"","4420","same-different-html-trial","35","591648","0.0-3.0-32.0","","9464-10","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","21"
"","4790","same-different-html-trial","36","603444","0.0-3.0-33.0","","9464-10","""rude""","""zuke.wav""","32","rude","SRI","","","","","","22"
"","5010","same-different-html-trial","37","615464","0.0-3.0-34.0","","9464-10","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","23"
"","4887","same-different-html-trial","38","627358","0.0-3.0-35.0","","9464-10","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","24"
"","3680","same-different-html-trial","39","638058","0.0-3.0-36.0","","9464-10","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","25"
"","2226","same-different-html-trial","40","647295","0.0-3.0-37.0","","9464-10","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","26"
"","1752","same-different-html-trial","41","656057","0.0-3.0-38.0","","9464-10","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","27"
"","2877","same-different-html-trial","42","665946","0.0-3.0-39.0","","9464-10","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","28"
"","4958","same-different-html-trial","43","677917","0.0-3.0-40.0","","9464-10","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","29"
"","2651","same-different-html-trial","44","687582","0.0-3.0-41.0","","9464-10","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","30"
"","1754","same-different-html-trial","45","696343","0.0-3.0-42.0","","9464-10","""useless""","""dame.wav""","32","useless","NAdj","","","","","","31"
"","2115","same-different-html-trial","46","705472","0.0-3.0-43.0","","9464-10","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","32"
"","3115","same-different-html-trial","47","715597","0.0-3.0-44.0","","9464-10","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","33"
"","1954","same-different-html-trial","48","724561","0.0-3.0-45.0","","9464-10","""rude""","""zuke.wav""","32","rude","SRI","","","","","","34"
"","1392","same-different-html-trial","49","732962","0.0-3.0-46.0","","9464-10","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","35"
"","2910","same-different-html-trial","50","742881","0.0-3.0-47.0","","9464-10","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","36"
