"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":21630}]","21632","instructions","0","21637","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4715},{""page_index"":1,""viewing_time"":24569},{""page_index"":2,""viewing_time"":39380},{""page_index"":3,""viewing_time"":40386},{""page_index"":4,""viewing_time"":111700}]","220751","instructions","1","242392","0.0-1.0","","","","","","","","","","","","",""
"","55421","survey-multi-choice","2","297834","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3259},{""page_index"":1,""viewing_time"":24909}]","28169","instructions","3","326004","0.0-3.0-0.0","","","","","","","","","","","","",""
"","16288","same-different-html-trial","4","348348","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":44951}]","44952","instructions","5","394301","0.0-3.0-2.0","","","","","","","","","","","","",""
"","26708","same-different-html","6","423034","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":8596}]","8596","instructions","7","432632","0.0-3.0-4.0","","","","","","","","","","","","",""
"","15449","same-different-html","8","450086","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":7542},{""page_index"":1,""viewing_time"":3178}]","10721","instructions","9","461808","0.0-3.0-6.0","","","","","","","","","","","","",""
"","4949","same-different-html-trial","10","472818","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":8584}]","8585","instructions","11","482403","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4807","same-different-html","12","489214","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","90","","","same","0","","","0",""
"","3217","same-different-html","13","495443","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2426},{""page_index"":1,""viewing_time"":87685}]","90112","instructions","14","586556","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2920","same-different-html-trial","15","595486","0.0-3.0-12.0","","9464-7","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","1"
"","1650","same-different-html-trial","16","604199","0.0-3.0-13.0","","9464-7","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","2"
"","3424","same-different-html-trial","17","614740","0.0-3.0-14.0","","9464-7","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","3"
"","3411","same-different-html-trial","18","625180","0.0-3.0-15.0","","9464-7","""subdued""","""jimi.wav""","32","subdued","NAdj","","","","","","4"
"","1224","same-different-html-trial","19","633443","0.0-3.0-16.0","","9464-7","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","5"
"","6227","same-different-html-trial","20","646696","0.0-3.0-17.0","","9464-7","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","6"
"","2136","same-different-html-trial","21","655859","0.0-3.0-18.0","","9464-7","""humid""","""mushimushi.wav""","32","humid","RI","","","","","","7"
"","3247","same-different-html-trial","22","666113","0.0-3.0-19.0","","9464-7","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","8"
"","2523","same-different-html-trial","23","675673","0.0-3.0-20.0","","9464-7","""comfortable""","""raku.wav""","32","comfortable","NAdj","","","","","","9"
"","2782","same-different-html-trial","24","685553","0.0-3.0-21.0","","9464-7","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","10"
"","2369","same-different-html-trial","25","694935","0.0-3.0-22.0","","9464-7","""vulgar""","""zokuzoku.wav""","32","vulgar","RNAdj","","","","","","11"
"","2294","same-different-html-trial","26","704311","0.0-3.0-23.0","","9464-7","""offended""","""kachinkachin.wav""","32","offended","RNRI","","","","","","12"
"","1956","same-different-html-trial","27","713316","0.0-3.0-24.0","","9464-7","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","13"
"","3596","same-different-html-trial","28","723913","0.0-3.0-25.0","","9464-7","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","14"
"","2325","same-different-html-trial","29","733278","0.0-3.0-26.0","","9464-7","""fat""","""debudebu.wav""","32","fat","RI","","","","","","15"
"","3861","same-different-html-trial","30","744158","0.0-3.0-27.0","","9464-7","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","16"
"","2608","same-different-html-trial","31","753782","0.0-3.0-28.0","","9464-7","""exact""","""kakkirikakkiri.wav""","32","exact","RNRI","","","","","","17"
"","1897","same-different-html-trial","32","762688","0.0-3.0-29.0","","9464-7","""useless""","""dame.wav""","32","useless","NAdj","","","","","","18"
"","3949","same-different-html-trial","33","773660","0.0-3.0-30.0","","9464-7","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","19"
"","1888","same-different-html-trial","34","782596","0.0-3.0-31.0","","9464-7","""gaudy""","""kabikabi.wav""","32","gaudy","RNAdj","","","","","","20"
"","2888","same-different-html-trial","35","792491","0.0-3.0-32.0","","9464-7","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","21"
"","3534","same-different-html-trial","36","803033","0.0-3.0-33.0","","9464-7","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","22"
"","4160","same-different-html-trial","37","814224","0.0-3.0-34.0","","9464-7","""rude""","""zuke.wav""","32","rude","SRI","","","","","","23"
"","1991","same-different-html-trial","38","823225","0.0-3.0-35.0","","9464-7","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","24"
"","5312","same-different-html-trial","39","835559","0.0-3.0-36.0","","9464-7","""sullen""","""musu.wav""","32","sullen","NRI","","","","","","25"
"","1542","same-different-html-trial","40","844109","0.0-3.0-37.0","","9464-7","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","26"
"","1639","same-different-html-trial","41","852755","0.0-3.0-38.0","","9464-7","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","27"
"","1561","same-different-html-trial","42","861364","0.0-3.0-39.0","","9464-7","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","28"
"","2411","same-different-html-trial","43","870858","0.0-3.0-40.0","","9464-7","""clear""","""kukkiri.wav""","32","clear","NRI","","","","","","29"
"","3291","same-different-html-trial","44","881153","0.0-3.0-41.0","","9464-7","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","30"
"","4875","same-different-html-trial","45","893048","0.0-3.0-42.0","","9464-7","""rude""","""zuke.wav""","32","rude","SRI","","","","","","31"
"","3116","same-different-html-trial","46","903192","0.0-3.0-43.0","","9464-7","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","32"
"","11731","same-different-html-trial","47","921927","0.0-3.0-44.0","","9464-7","""sudden""","""patapata.wav""","32","sudden","RNRI","","","","","","33"
"","5789","same-different-html-trial","48","934726","0.0-3.0-45.0","","9464-7","""chatty""","""bera.wav""","32","chatty","SRI","","","","","","34"
"","3047","same-different-html-trial","49","944779","0.0-3.0-46.0","","9464-7","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","35"
"","5464","same-different-html-trial","50","957248","0.0-3.0-47.0","","9464-7","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","36"
