"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":44685}]","44686","instructions","0","44687","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1357},{""page_index"":1,""viewing_time"":1392},{""page_index"":2,""viewing_time"":1288},{""page_index"":3,""viewing_time"":529},{""page_index"":4,""viewing_time"":3775}]","8341","instructions","1","53029","0.0-1.0","","","","","","","","","","","","",""
"","21165","survey-multi-choice","2","74199","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1302},{""page_index"":1,""viewing_time"":4232}]","5534","instructions","3","79734","0.0-3.0-0.0","","","","","","","","","","","","",""
"","2828","same-different-html-trial","4","88582","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":5766}]","5766","instructions","5","95350","0.0-3.0-2.0","","","","","","","","","","","","",""
"","9175","same-different-html","6","106527","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":15684}]","15684","instructions","7","123214","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3401","same-different-html","8","128621","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2414},{""page_index"":1,""viewing_time"":1334}]","3749","instructions","9","133373","0.0-3.0-6.0","","","","","","","","","","","","",""
"","2939","same-different-html-trial","10","142319","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":4288}]","4288","instructions","11","147609","0.0-3.0-8.0","","","","","","","","","","","","",""
"","4039","same-different-html","12","153653","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","1464","same-different-html","13","158121","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":1358},{""page_index"":1,""viewing_time"":11372}]","12730","instructions","14","171853","0.0-3.0-11.0","","","","","","","","","","","","",""
"","3437","same-different-html-trial","15","181299","0.0-3.0-12.0","","3136-2","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","1"
"","2709","same-different-html-trial","16","191017","0.0-3.0-13.0","","3136-2","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","2"
"","3862","same-different-html-trial","17","201886","0.0-3.0-14.0","","3136-2","""fast asleep""","""gussurigussuri.wav""","32","fast asleep","RNRI","","","","","","3"
"","2023","same-different-html-trial","18","210916","0.0-3.0-15.0","","3136-2","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","4"
"","1974","same-different-html-trial","19","219900","0.0-3.0-16.0","","3136-2","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","5"
"","1739","same-different-html-trial","20","228648","0.0-3.0-17.0","","3136-2","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","6"
"","2177","same-different-html-trial","21","237835","0.0-3.0-18.0","","3136-2","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","7"
"","1881","same-different-html-trial","22","246726","0.0-3.0-19.0","","3136-2","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","8"
"","1835","same-different-html-trial","23","255566","0.0-3.0-20.0","","3136-2","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","9"
"","782","same-different-html-trial","24","263362","0.0-3.0-21.0","","3136-2","""rare""","""mare.wav""","32","rare","NAdj","","","","","","10"
"","1969","same-different-html-trial","25","272339","0.0-3.0-22.0","","3136-2","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","11"
"","1291","same-different-html-trial","26","280639","0.0-3.0-23.0","","3136-2","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","12"
"","1532","same-different-html-trial","27","289180","0.0-3.0-24.0","","3136-2","""messy""","""gocha.wav""","32","messy","SRI","","","","","","13"
"","2364","same-different-html-trial","28","298574","0.0-3.0-25.0","","3136-2","""smooth""","""nopperi.wav""","32","smooth","NRI","","","","","","14"
"","2557","same-different-html-trial","29","308138","0.0-3.0-26.0","","3136-2","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","15"
"","2045","same-different-html-trial","30","317189","0.0-3.0-27.0","","3136-2","""harsh""","""koku.wav""","32","harsh","NAdj","","","","","","16"
"","2518","same-different-html-trial","31","326713","0.0-3.0-28.0","","3136-2","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","17"
"","2232","same-different-html-trial","32","335953","0.0-3.0-29.0","","3136-2","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","18"
"","2226","same-different-html-trial","33","345188","0.0-3.0-30.0","","3136-2","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","19"
"","2290","same-different-html-trial","34","354488","0.0-3.0-31.0","","3136-2","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","20"
"","2030","same-different-html-trial","35","363525","0.0-3.0-32.0","","3136-2","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","21"
"","1367","same-different-html-trial","36","371897","0.0-3.0-33.0","","3136-2","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","22"
"","2175","same-different-html-trial","37","381081","0.0-3.0-34.0","","3136-2","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","23"
"","2789","same-different-html-trial","38","390883","0.0-3.0-35.0","","3136-2","""careful""","""jikkuri.wav""","32","careful","NRI","","","","","","24"
"","1647","same-different-html-trial","39","399537","0.0-3.0-36.0","","3136-2","""vulgar""","""zoku.wav""","32","vulgar","NAdj","","","","","","25"
"","2201","same-different-html-trial","40","408745","0.0-3.0-37.0","","3136-2","""messy""","""gocha.wav""","32","messy","SRI","","","","","","26"
"","2219","same-different-html-trial","41","417970","0.0-3.0-38.0","","3136-2","""gaping""","""pokapoka.wav""","32","gaping","RNRI","","","","","","27"
"","2767","same-different-html-trial","42","427743","0.0-3.0-39.0","","3136-2","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","28"
"","2690","same-different-html-trial","43","437442","0.0-3.0-40.0","","3136-2","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","29"
"","3600","same-different-html-trial","44","448049","0.0-3.0-41.0","","3136-2","""noisy""","""gayagaya.wav""","32","noisy","RI","","","","","","30"
"","5935","same-different-html-trial","45","460989","0.0-3.0-42.0","","3136-2","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","31"
"","2154","same-different-html-trial","46","470150","0.0-3.0-43.0","","3136-2","""deficient""","""fubifubi.wav""","32","deficient","RNAdj","","","","","","32"
"","1873","same-different-html-trial","47","479031","0.0-3.0-44.0","","3136-2","""sloppy""","""zatsuzatsu.wav""","32","sloppy","RNAdj","","","","","","33"
"","3086","same-different-html-trial","48","489123","0.0-3.0-45.0","","3136-2","""steaming""","""hoka.wav""","32","steaming","SRI","","","","","","34"
"","2797","same-different-html-trial","49","498929","0.0-3.0-46.0","","3136-2","""whispering""","""hisohiso.wav""","32","whispering","RI","","","","","","35"
"","1643","same-different-html-trial","50","507583","0.0-3.0-47.0","","3136-2","""sturdy""","""gashi.wav""","32","sturdy","NRI","","","","","","36"
"","4202","same-different-html-trial","51","518792","0.0-3.0-48.0","","3136-2","""hesitant""","""moji.wav""","32","hesitant","SRI","","","","","","37"
"","5425","same-different-html-trial","52","531443","0.0-3.0-49.0","","3136-2","""supple""","""shinnarishinnari.wav""","32","supple","RNRI","","","","","","38"
"","1505","same-different-html-trial","53","539959","0.0-3.0-50.0","","3136-2","""stupid""","""bakabaka.wav""","32","stupid","RNAdj","","","","","","39"
"","1617","same-different-html-trial","54","548584","0.0-3.0-51.0","","3136-2","""chubby""","""bukubuku.wav""","32","chubby","RI","","","","","","40"
"","3480","same-different-html-trial","55","559079","0.0-3.0-52.0","","3136-2","""rare""","""mare.wav""","32","rare","NAdj","","","","","","41"
"","5226","same-different-html-trial","56","571311","0.0-3.0-53.0","","3136-2","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","42"
