"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":167062}]","167062","instructions","0","167063","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":704},{""page_index"":1,""viewing_time"":1109},{""page_index"":2,""viewing_time"":1244},{""page_index"":3,""viewing_time"":612},{""page_index"":4,""viewing_time"":2182}]","5852","instructions","1","172916","0.0-1.0","","","","","","","","","","","","",""
"","9976","survey-multi-choice","2","182896","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":73830},{""page_index"":1,""viewing_time"":4077}]","77908","instructions","3","260804","0.0-3.0-0.0","","","","","","","","","","","","",""
"","3124","same-different-html-trial","4","269935","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":3781}]","3782","instructions","5","274718","0.0-3.0-2.0","","","","","","","","","","","","",""
"","8814","same-different-html","6","285535","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":2667}]","2667","instructions","7","289204","0.0-3.0-4.0","","","","","","","","","","","","",""
"","3209","same-different-html","8","294416","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":4077},{""page_index"":1,""viewing_time"":890}]","4968","instructions","9","300385","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3612","same-different-html-trial","10","310081","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1277}]","1277","instructions","11","312359","0.0-3.0-8.0","","","","","","","","","","","","",""
"","9592","same-different-html","12","324063","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","5222","same-different-html","13","332288","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":743},{""page_index"":1,""viewing_time"":3266}]","4010","instructions","14","337299","0.0-3.0-11.0","","","","","","","","","","","","",""
"","1557","same-different-html-trial","15","345023","0.0-3.0-12.0","","5009-7","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","1"
"","1809","same-different-html-trial","16","353840","0.0-3.0-13.0","","5009-7","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","2"
"","5107","same-different-html-trial","17","366575","0.0-3.0-14.0","","5009-7","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","3"
"","1295","same-different-html-trial","18","374880","0.0-3.0-15.0","","5009-7","""whole""","""goso.wav""","32","whole","NRI","","","","","","4"
"","2113","same-different-html-trial","19","383999","0.0-3.0-16.0","","5009-7","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","5"
"","6266","same-different-html-trial","20","400736","0.0-3.0-17.0","","5009-7","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","6"
"","3660","same-different-html-trial","21","412127","0.0-3.0-18.0","","5009-7","""rude""","""zuke.wav""","32","rude","SRI","","","","","","7"
"","550","same-different-html-trial","22","421711","0.0-3.0-19.0","","5009-7","""free""","""himahima.wav""","32","free","RNAdj","","","","","","8"
"","7512","same-different-html-trial","23","437983","0.0-3.0-20.0","","5009-7","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","9"
"","4641","same-different-html-trial","24","449631","0.0-3.0-21.0","","5009-7","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","10"
"","402","same-different-html-trial","25","459934","0.0-3.0-22.0","","5009-7","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","11"
"","18","same-different-html-trial","26","466959","0.0-3.0-23.0","","5009-7","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","12"
"","1355","same-different-html-trial","27","477823","0.0-3.0-24.0","","5009-7","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","13"
"","58","same-different-html-trial","28","486526","0.0-3.0-25.0","","5009-7","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","14"
"","2002","same-different-html-trial","29","497470","0.0-3.0-26.0","","5009-7","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","15"
"","409","same-different-html-trial","30","506879","0.0-3.0-27.0","","5009-7","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","16"
"","1065","same-different-html-trial","31","515535","0.0-3.0-28.0","","5009-7","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","17"
"","1122","same-different-html-trial","32","523663","0.0-3.0-29.0","","5009-7","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","18"
"","515","same-different-html-trial","33","532928","0.0-3.0-30.0","","5009-7","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","19"
"","490","same-different-html-trial","34","540959","0.0-3.0-31.0","","5009-7","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","20"
"","148","same-different-html-trial","35","548113","0.0-3.0-32.0","","5009-7","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","21"
"","10338","same-different-html-trial","36","565808","0.0-3.0-33.0","","5009-7","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","22"
"","5722","same-different-html-trial","37","580191","0.0-3.0-34.0","","5009-7","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","23"
"","321","same-different-html-trial","38","589791","0.0-3.0-35.0","","5009-7","""humid""","""mushi.wav""","32","humid","SRI","","","","","","24"
"","160","same-different-html-trial","39","596960","0.0-3.0-36.0","","5009-7","""smug""","""kizakiza.wav""","32","smug","RNAdj","","","","","","25"
"","1207","same-different-html-trial","40","605680","0.0-3.0-37.0","","5009-7","""crowded""","""bisshiri.wav""","32","crowded","NRI","","","","","","26"
"","60129","same-different-html-trial","41","672816","0.0-3.0-38.0","","5009-7","""worn out""","""boro.wav""","32","worn out","SRI","","","","","","27"
"","6874","same-different-html-trial","42","687343","0.0-3.0-39.0","","5009-7","""glossy""","""tsuyatsuya.wav""","32","glossy","RI","","","","","","28"
"","3090","same-different-html-trial","43","697440","0.0-3.0-40.0","","5009-7","""beneficial""","""tokutoku.wav""","32","beneficial","RNAdj","","","","","","29"
"","571","same-different-html-trial","44","706623","0.0-3.0-41.0","","5009-7","""impossible""","""muri.wav""","32","impossible","NAdj","","","","","","30"
"","921","same-different-html-trial","45","716239","0.0-3.0-42.0","","5009-7","""free""","""himahima.wav""","32","free","RNAdj","","","","","","31"
"","1665","same-different-html-trial","46","724912","0.0-3.0-43.0","","5009-7","""noisy""","""gaya.wav""","32","noisy","SRI","","","","","","32"
"","81","same-different-html-trial","47","732000","0.0-3.0-44.0","","5009-7","""excessive""","""kado.wav""","32","excessive","NAdj","","","","","","33"
"","271","same-different-html-trial","48","739279","0.0-3.0-45.0","","5009-7","""nonchalantly""","""kerokero.wav""","32","nonchalantly","RNRI","","","","","","34"
"","368","same-different-html-trial","49","746656","0.0-3.0-46.0","","5009-7","""gaudy""","""kabi.wav""","32","gaudy","NAdj","","","","","","35"
"","288","same-different-html-trial","50","753951","0.0-3.0-47.0","","5009-7","""resolute""","""bassari.wav""","32","resolute","NRI","","","","","","36"
"","241","same-different-html-trial","51","761199","0.0-3.0-48.0","","5009-7","""agitated""","""hikuhiku.wav""","32","agitated","RI","","","","","","37"
"","290","same-different-html-trial","52","768496","0.0-3.0-49.0","","5009-7","""whole""","""goso.wav""","32","whole","NRI","","","","","","38"
"","1121","same-different-html-trial","53","776624","0.0-3.0-50.0","","5009-7","""steaming""","""hokahoka.wav""","32","steaming","RI","","","","","","39"
"","3074","same-different-html-trial","54","786704","0.0-3.0-51.0","","5009-7","""plump""","""potcharipotchari.wav""","32","plump","RNRI","","","","","","40"
"","8220","same-different-html-trial","55","801935","0.0-3.0-52.0","","5009-7","""sturdy""","""gashigashi.wav""","32","sturdy","RNRI","","","","","","41"
"","3104","same-different-html-trial","56","812047","0.0-3.0-53.0","","5009-7","""perfect""","""batchiri.wav""","32","perfect","NRI","","","","","","42"
"","95","same-different-html-trial","57","819151","0.0-3.0-54.0","","5009-7","""humid""","""mushi.wav""","32","humid","SRI","","","","","","43"
"","1767","same-different-html-trial","58","827924","0.0-3.0-55.0","","5009-7","""rash""","""muchamucha.wav""","32","rash","RNAdj","","","","","","44"
"","158","same-different-html-trial","59","835087","0.0-3.0-56.0","","5009-7","""hasty""","""sekaseka.wav""","32","hasty","RI","","","","","","45"
"","258","same-different-html-trial","60","842351","0.0-3.0-57.0","","5009-7","""to change ocmpletely""","""garagara.wav""","32","to change ocmpletely","RNRI","","","","","","46"
"","1781","same-different-html-trial","61","851248","0.0-3.0-58.0","","5009-7","""stupid""","""baka.wav""","32","stupid","NAdj","","","","","","47"
"","863","same-different-html-trial","62","859119","0.0-3.0-59.0","","5009-7","""rude""","""zuke.wav""","32","rude","SRI","","","","","","48"
"[{""page_index"":0,""viewing_time"":4155}]","4155","instructions","63","864274","0.0-3.0-60.0","","","","","","","","","","","","",""
"","3274","same-different-html","64","869551","0.0-3.0-61.0","","5009-7","""rude""","""zuke.wav""","191","rude","SRI","same","1","T","rude","Y","1"
"","241","same-different-html","65","872799","0.0-3.0-62.0","","5009-7","""nonchalantly""","""tsuyatsuya.wav""","90","glossy","RI","different","1","D","nonchalantly","Y","2"
"","977","same-different-html","66","876783","0.0-3.0-63.0","","5009-7","""noisy""","""gaya.wav""","90","noisy","SRI","same","0","T","noisy","Y","3"
"","1078","same-different-html","67","880864","0.0-3.0-64.0","","5009-7","""worn out""","""boro.wav""","191","worn out","SRI","same","1","T","worn out","Y","4"
"","917","same-different-html","68","884783","0.0-3.0-65.0","","5009-7","""smug""","""garagara.wav""","90","to change ocmpletely","RNRI","different","1","D","smug","Y","5"
"","899","same-different-html","69","888688","0.0-3.0-66.0","","5009-7","""perfect""","""hokahoka.wav""","90","steaming","RI","different","1","D","perfect","Y","6"
"","326","same-different-html","70","892016","0.0-3.0-67.0","","5009-7","""free""","""himahima.wav""","90","free","RNAdj","same","0","T","free","Y","7"
"","35","same-different-html","71","895503","0.0-3.0-68.0","","5009-7","""hasty""","""sekaseka.wav""","90","hasty","RI","same","0","T","hasty","Y","8"
"","885","same-different-html","72","899391","0.0-3.0-69.0","","5009-7","""gaudy""","""potcharipotchari.wav""","90","plump","RNRI","different","1","D","gaudy","Y","9"
"","100","same-different-html","73","902495","0.0-3.0-70.0","","5009-7","""to change ocmpletely""","""garagara.wav""","90","to change ocmpletely","RNRI","same","0","T","to change ocmpletely","Y","10"
"","35","same-different-html","74","905536","0.0-3.0-71.0","","5009-7","""stupid""","""baka.wav""","191","stupid","NAdj","same","1","T","stupid","Y","11"
"","67","same-different-html","75","908607","0.0-3.0-72.0","","5009-7","""free""","""gaya.wav""","90","noisy","SRI","different","1","D","free","Y","12"
"","961","same-different-html","76","912575","0.0-3.0-73.0","","5009-7","""smug""","""kizakiza.wav""","90","smug","RNAdj","same","0","T","smug","Y","13"
"","1076","same-different-html","77","916655","0.0-3.0-74.0","","5009-7","""humid""","""mushi.wav""","191","humid","SRI","same","1","T","humid","Y","14"
"","885","same-different-html","78","920544","0.0-3.0-75.0","","5009-7","""beneficial""","""tokutoku.wav""","90","beneficial","RNAdj","same","0","T","beneficial","Y","15"
"","53","same-different-html","79","923600","0.0-3.0-76.0","","5009-7","""rude""","""himahima.wav""","90","free","RNAdj","different","1","D","rude","Y","16"
"","100","same-different-html","80","926704","0.0-3.0-77.0","","5009-7","""humid""","""tokutoku.wav""","90","beneficial","RNAdj","different","1","D","humid","Y","17"
"","114","same-different-html","81","929823","0.0-3.0-78.0","","5009-7","""resolute""","""zuke.wav""","90","rude","SRI","different","1","D","resolute","Y","18"
"","35","same-different-html","82","932863","0.0-3.0-79.0","","5009-7","""sturdy""","""gashigashi.wav""","90","sturdy","RNRI","same","0","T","sturdy","Y","19"
"","661","same-different-html","83","936528","0.0-3.0-80.0","","5009-7","""hasty""","""bassari.wav""","191","resolute","NRI","different","0","D","hasty","Y","20"
"","371","same-different-html","84","939905","0.0-3.0-81.0","","5009-7","""whole""","""muchamucha.wav""","191","rash","RNAdj","different","0","D","whole","Y","21"
"","1045","same-different-html","85","943952","0.0-3.0-82.0","","5009-7","""plump""","""potcharipotchari.wav""","90","plump","RNRI","same","0","T","plump","Y","22"
