"view_history","rt","trial_type","trial_index","time_elapsed","internal_node_id","responses","Id","word","sound","key_press","TrueMeaning","WordType","answer","correct","TrialType","TargetMeaning","LegalTrial","trialNum"
"[{""page_index"":0,""viewing_time"":29731}]","29732","instructions","0","29736","0.0-0.0","","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":1748},{""page_index"":1,""viewing_time"":4015},{""page_index"":2,""viewing_time"":4263},{""page_index"":3,""viewing_time"":7798},{""page_index"":4,""viewing_time"":22989}]","40814","instructions","1","70550","0.0-1.0","","","","","","","","","","","","",""
"","14375","survey-multi-choice","2","84930","0.0-2.0","{""Q0"":""Yes"",""Q1"":""Yes"",""Q2"":""Yes"",""Q3"":""Yes"",""Q4"":""Yes""}","","","","","","","","","","","",""
"[{""page_index"":0,""viewing_time"":2135},{""page_index"":1,""viewing_time"":8854}]","10989","instructions","3","95919","0.0-3.0-0.0","","","","","","","","","","","","",""
"","6417","same-different-html-trial","4","108361","0.0-3.0-1.0","","0","""sushi""","""prc_sushi.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":27158}]","27158","instructions","5","136520","0.0-3.0-2.0","","","","","","","","","","","","",""
"","18967","same-different-html","6","157497","0.0-3.0-3.0","","0","""sushi""","""prc_sushi.wav""","191","","","same","1","","","0",""
"[{""page_index"":0,""viewing_time"":4577}]","4578","instructions","7","163077","0.0-3.0-4.0","","","","","","","","","","","","",""
"","2956","same-different-html","8","168040","0.0-3.0-5.0","","0","""cat""","""prc_sushi.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":3760},{""page_index"":1,""viewing_time"":2997}]","6757","instructions","9","175798","0.0-3.0-6.0","","","","","","","","","","","","",""
"","3204","same-different-html-trial","10","185016","0.0-3.0-7.0","","0","""thank you""","""prc_arigato.wav""","32","","","","","","","",""
"[{""page_index"":0,""viewing_time"":6487}]","6487","instructions","11","192505","0.0-3.0-8.0","","","","","","","","","","","","",""
"","11521","same-different-html","12","206031","0.0-3.0-9.0","","0","""thank you""","""prc_arigato.wav""","191","","","same","1","","","0",""
"","3192","same-different-html","13","212231","0.0-3.0-10.0","","0","""cat""","""prc_arigato.wav""","90","","","different","1","","","0",""
"[{""page_index"":0,""viewing_time"":2927},{""page_index"":1,""viewing_time"":25659}]","28586","instructions","14","241820","0.0-3.0-11.0","","","","","","","","","","","","",""
"","2610","same-different-html-trial","15","250445","0.0-3.0-12.0","","5294-4","""rare""","""maremare.wav""","32","rare","RNAdj","","","","","","1"
"","3058","same-different-html-trial","16","260517","0.0-3.0-13.0","","5294-4","""excessive""","""kadokado.wav""","32","excessive","RNAdj","","","","","","2"
