"Id"	"Word"	"TrueMeaning"	"WordType"
"16-2"	"kokukoku"	"harsh"	"RNAdj"
"16-2"	"pisha"	"decisive"	"NRI"
"16-2"	"shinnarishinnari"	"supple"	"RNRI"
"16-2"	"tokutoku"	"beneficial"	"RNAdj"
"16-2"	"pokapoka"	"gaping"	"RNRI"
"16-2"	"furi"	"disadvantaged"	"NAdj"
"16-2"	"bassaribassari"	"resolute"	"RNRI"
"16-2"	"kachin"	"offended"	"NRI"
"16-2"	"sekaseka"	"hasty"	"RI"
"16-2"	"hokahoka"	"steaming"	"RI"
"16-2"	"gashigashi"	"sturdy"	"RNRI"
"16-2"	"tsuya"	"glossy"	"SRI"
"16-2"	"zokuzoku"	"vulgar"	"RNAdj"
"16-2"	"kerokero"	"nonchalantly"	"RNRI"
"16-2"	"zatsu"	"sloppy"	"NAdj"
"16-2"	"gussuri"	"fast asleep"	"NRI"
"16-2"	"bera"	"chatty"	"SRI"
"16-2"	"pata"	"sudden"	"NRI"
"16-2"	"baka"	"stupid"	"NAdj"
"16-2"	"zukezuke"	"rude"	"RI"
"16-2"	"hiso"	"whispering"	"SRI"
"16-2"	"debu"	"fat"	"SRI"
"16-2"	"bisshiri"	"crowded"	"NRI"
"16-2"	"kadokado"	"excessive"	"RNAdj"
"16-2"	"gaku"	"dejected"	"NRI"
"16-2"	"yaboyabo"	"tasteless"	"RNAdj"
"16-2"	"mucha"	"rash"	"NAdj"
"16-2"	"buru"	"shivering"	"SRI"
"16-2"	"mushimushi"	"humid"	"RI"
"16-2"	"kiza"	"smug"	"NAdj"
"16-2"	"garagara"	"to change ocmpletely"	"RNRI"
"16-2"	"gowagowa"	"stiff"	"RI"
"16-2"	"murimuri"	"impossible"	"RNAdj"
"16-2"	"mare"	"rare"	"NAdj"
"16-2"	"hara"	"suspenseful"	"SRI"
"16-2"	"kibikibi"	"energetic"	"RI"
"16-2"	"garagara"	"to change ocmpletely"	"RNRI"
"16-2"	"tokutoku"	"beneficial"	"RNAdj"
"16-2"	"gussuri"	"fast asleep"	"NRI"
"16-2"	"gaku"	"dejected"	"NRI"
"16-2"	"pisha"	"decisive"	"NRI"
"16-2"	"shinnarishinnari"	"supple"	"RNRI"
"16-2"	"sekaseka"	"hasty"	"RI"
"16-2"	"bassaribassari"	"resolute"	"RNRI"
"16-2"	"kokukoku"	"harsh"	"RNAdj"
"16-2"	"bera"	"chatty"	"SRI"
"16-2"	"pata"	"sudden"	"NRI"
"16-2"	"zokuzoku"	"vulgar"	"RNAdj"
"16-2"	"murimuri"	"impossible"	"RNAdj"
"16-2"	"yaboyabo"	"tasteless"	"RNAdj"
"16-2"	"kachin"	"offended"	"NRI"
"16-2"	"gashigashi"	"sturdy"	"RNRI"
"16-2"	"kiza"	"smug"	"NAdj"
"16-2"	"hokahoka"	"steaming"	"RI"
"16-2"	"hara"	"suspenseful"	"SRI"
"16-2"	"tsuya"	"glossy"	"SRI"
"16-2"	"kerokero"	"nonchalantly"	"RNRI"
"16-2"	"kibikibi"	"energetic"	"RI"
"16-2"	"mare"	"rare"	"NAdj"
"16-2"	"furi"	"disadvantaged"	"NAdj"
"16-2"	"mushimushi"	"humid"	"RI"
"16-2"	"baka"	"stupid"	"NAdj"
"16-2"	"pokapoka"	"gaping"	"RNRI"
"16-2"	"hiso"	"whispering"	"SRI"
"16-2"	"gowagowa"	"stiff"	"RI"
"16-2"	"kadokado"	"excessive"	"RNAdj"
"16-2"	"bisshiri"	"crowded"	"NRI"
"16-2"	"mucha"	"rash"	"NAdj"
"16-2"	"zukezuke"	"rude"	"RI"
"16-2"	"debu"	"fat"	"SRI"
"16-2"	"buru"	"shivering"	"SRI"
"16-2"	"zatsu"	"sloppy"	"NAdj"
