Stimulus,Word
txt_000,hisohiso
txt_001,hokahoka
txt_002,kibikibi
txt_003,bukubuku
txt_004,mushimushi
txt_005,buruburu
txt_006,hikuhiku
txt_007,ukiuki
txt_008,boroboro
txt_009,gochagocha
txt_010,harahara
txt_011,berabera
txt_012,tsuyatsuya
txt_013,yurayura
txt_014,gayagaya
txt_015,gowagowa
txt_016,sekaseka
txt_017,debudebu
txt_018,zukezuke
txt_019,mojimoji
txt_020,hiso
txt_021,hoka
txt_022,kibi
txt_023,buku
txt_024,mushi
txt_025,buru
txt_026,hiku
txt_027,uki
txt_028,boro
txt_029,gocha
txt_030,hara
txt_031,bera
txt_032,tsuya
txt_033,yura
txt_034,gaya
txt_035,gowa
txt_036,seka
txt_037,debu
txt_038,zuke
txt_039,moji
txt_040,kachin
txt_041,gaku
txt_042,poka
txt_043,gashi
txt_044,pata
txt_045,pisha
txt_046,musu
txt_047,gara
txt_048,goso
txt_049,kero
txt_050,kakkiri
txt_051,kukkiri
txt_052,gussuri
txt_053,shinnari
txt_054,jikkuri
txt_055,nopperi
txt_056,bassari
txt_057,batchiri
txt_058,bisshiri
txt_059,potchari
txt_060,kachinkachin
txt_061,gakugaku
txt_062,pokapoka
txt_063,gashigashi
txt_064,patapata
txt_065,pishapisha
txt_066,musumusu
txt_067,garagara
txt_068,gosogoso
txt_069,kerokero
txt_070,kakkirikakkiri
txt_071,kukkirikukkiri
txt_072,gussurigussuri
txt_073,shinnarishinnari
txt_074,jikkurijikkuri
txt_075,nopperinopperi
txt_076,bassaribassari
txt_077,batchiribatchiri
txt_078,bisshiribisshiri
txt_079,potcharipotchari
txt_080,kado
txt_081,kabi
txt_082,kiza
txt_083,baka
txt_084,yabo
txt_085,fubi
txt_086,yawa
txt_087,muku
txt_088,mucha
txt_089,hima
txt_090,jimi
txt_091,dame
txt_092,zatsu
txt_093,zoku
txt_094,mare
txt_095,koku
txt_096,raku
txt_097,furi
txt_098,muri
txt_099,toku
txt_100,kadokado
txt_101,kabikabi
txt_102,kizakiza
txt_103,bakabaka
txt_104,yaboyabo
txt_105,fubifubi
txt_106,yawayawa
txt_107,mukumuku
txt_108,muchamucha
txt_109,himahima
txt_110,jimijimi
txt_111,damedame
txt_112,zatsuzatsu
txt_113,zokuzoku
txt_114,maremare
txt_115,kokukoku
txt_116,rakuraku
txt_117,furifuri
txt_118,murimuri
txt_119,tokutoku
