"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"3034-6"	"gosogoso"	"whole"	"RNRI"	1
"3034-6"	"jimi"	"subdued"	"NAdj"	2
"3034-6"	"zatsuzatsu"	"sloppy"	"RNAdj"	3
"3034-6"	"kukkiri"	"clear"	"NRI"	4
"3034-6"	"moji"	"hesitant"	"SRI"	5
"3034-6"	"gussuri"	"fast asleep"	"NRI"	6
"3034-6"	"musumusu"	"sullen"	"RNRI"	7
"3034-6"	"bakabaka"	"stupid"	"RNAdj"	8
"3034-6"	"buruburu"	"shivering"	"RI"	9
"3034-6"	"shinnari"	"supple"	"NRI"	10
"3034-6"	"zoku"	"vulgar"	"NAdj"	11
"3034-6"	"batchiri"	"perfect"	"NRI"	12
"3034-6"	"zukezuke"	"rude"	"RI"	13
"3034-6"	"hisohiso"	"whispering"	"RI"	14
"3034-6"	"pata"	"sudden"	"NRI"	15
"3034-6"	"toku"	"beneficial"	"NAdj"	16
"3034-6"	"mushi"	"humid"	"SRI"	17
"3034-6"	"gaya"	"noisy"	"SRI"	18
"3034-6"	"bisshiribisshiri"	"crowded"	"RNRI"	19
"3034-6"	"gowagowa"	"stiff"	"RI"	20
"3034-6"	"kabikabi"	"gaudy"	"RNAdj"	21
"3034-6"	"gocha"	"messy"	"SRI"	22
"3034-6"	"murimuri"	"impossible"	"RNAdj"	23
"3034-6"	"mare"	"rare"	"NAdj"	24
"3034-6"	"mukumuku"	"pure"	"RNAdj"	25
"3034-6"	"jikkuri"	"careful"	"NRI"	26
"3034-6"	"kizakiza"	"smug"	"RNAdj"	27
"3034-6"	"pishapisha"	"decisive"	"RNRI"	28
"3034-6"	"raku"	"comfortable"	"NAdj"	29
"3034-6"	"yawa"	"fragile"	"NAdj"	30
"3034-6"	"bera"	"chatty"	"SRI"	31
"3034-6"	"boroboro"	"worn out"	"RI"	32
"3034-6"	"hoka"	"steaming"	"SRI"	33
"3034-6"	"pokapoka"	"gaping"	"RNRI"	34
"3034-6"	"kakkirikakkiri"	"exact"	"RNRI"	35
"3034-6"	"bukubuku"	"chubby"	"RI"	36
"3034-6"	"gosogoso"	"whole"	"RNRI"	37
"3034-6"	"bakabaka"	"stupid"	"RNAdj"	38
"3034-6"	"zatsuzatsu"	"sloppy"	"RNAdj"	39
"3034-6"	"mare"	"rare"	"NAdj"	40
"3034-6"	"shinnari"	"supple"	"NRI"	41
"3034-6"	"hisohiso"	"whispering"	"RI"	42
"3034-6"	"yawa"	"fragile"	"NAdj"	43
"3034-6"	"gocha"	"messy"	"SRI"	44
"3034-6"	"buruburu"	"shivering"	"RI"	45
"3034-6"	"bukubuku"	"chubby"	"RI"	46
"3034-6"	"pishapisha"	"decisive"	"RNRI"	47
"3034-6"	"pokapoka"	"gaping"	"RNRI"	48
"3034-6"	"kizakiza"	"smug"	"RNAdj"	49
"3034-6"	"bera"	"chatty"	"SRI"	50
"3034-6"	"jikkuri"	"careful"	"NRI"	51
"3034-6"	"toku"	"beneficial"	"NAdj"	52
"3034-6"	"boroboro"	"worn out"	"RI"	53
"3034-6"	"kukkiri"	"clear"	"NRI"	54
"3034-6"	"raku"	"comfortable"	"NAdj"	55
"3034-6"	"bisshiribisshiri"	"crowded"	"RNRI"	56
"3034-6"	"murimuri"	"impossible"	"RNAdj"	57
"3034-6"	"hoka"	"steaming"	"SRI"	58
"3034-6"	"pata"	"sudden"	"NRI"	59
"3034-6"	"jimi"	"subdued"	"NAdj"	60
"3034-6"	"gussuri"	"fast asleep"	"NRI"	61
"3034-6"	"musumusu"	"sullen"	"RNRI"	62
"3034-6"	"kakkirikakkiri"	"exact"	"RNRI"	63
"3034-6"	"gaya"	"noisy"	"SRI"	64
"3034-6"	"kabikabi"	"gaudy"	"RNAdj"	65
"3034-6"	"moji"	"hesitant"	"SRI"	66
"3034-6"	"gowagowa"	"stiff"	"RI"	67
"3034-6"	"zoku"	"vulgar"	"NAdj"	68
"3034-6"	"batchiri"	"perfect"	"NRI"	69
"3034-6"	"zukezuke"	"rude"	"RI"	70
"3034-6"	"mukumuku"	"pure"	"RNAdj"	71
"3034-6"	"mushi"	"humid"	"SRI"	72
