"Id"	"Word"	"TrueMeaning"	"WordType"	"TrialNum"
"3478-6"	"gussurigussuri"	"fast asleep"	"RNRI"	1
"3478-6"	"pokapoka"	"gaping"	"RNRI"	2
"3478-6"	"kukkiri"	"clear"	"NRI"	3
"3478-6"	"mojimoji"	"hesitant"	"RI"	4
"3478-6"	"zokuzoku"	"vulgar"	"RNAdj"	5
"3478-6"	"jimi"	"subdued"	"NAdj"	6
"3478-6"	"hiku"	"agitated"	"SRI"	7
"3478-6"	"kabi"	"gaudy"	"NAdj"	8
"3478-6"	"yura"	"wobbly"	"SRI"	9
"3478-6"	"buru"	"shivering"	"SRI"	10
"3478-6"	"gayagaya"	"noisy"	"RI"	11
"3478-6"	"fubifubi"	"deficient"	"RNAdj"	12
"3478-6"	"jikkuri"	"careful"	"NRI"	13
"3478-6"	"dame"	"useless"	"NAdj"	14
"3478-6"	"goso"	"whole"	"NRI"	15
"3478-6"	"bisshiribisshiri"	"crowded"	"RNRI"	16
"3478-6"	"harahara"	"suspenseful"	"RI"	17
"3478-6"	"mucha"	"rash"	"NAdj"	18
"3478-6"	"zukezuke"	"rude"	"RI"	19
"3478-6"	"uki"	"happy"	"SRI"	20
"3478-6"	"gashigashi"	"sturdy"	"RNRI"	21
"3478-6"	"kadokado"	"excessive"	"RNAdj"	22
"3478-6"	"rakuraku"	"comfortable"	"RNAdj"	23
"3478-6"	"batchiri"	"perfect"	"NRI"	24
"3478-6"	"pokapoka"	"gaping"	"RNRI"	25
"3478-6"	"gussurigussuri"	"fast asleep"	"RNRI"	26
"3478-6"	"zukezuke"	"rude"	"RI"	27
"3478-6"	"bisshiribisshiri"	"crowded"	"RNRI"	28
"3478-6"	"mucha"	"rash"	"NAdj"	29
"3478-6"	"yura"	"wobbly"	"SRI"	30
"3478-6"	"gayagaya"	"noisy"	"RI"	31
"3478-6"	"hiku"	"agitated"	"SRI"	32
"3478-6"	"batchiri"	"perfect"	"NRI"	33
"3478-6"	"goso"	"whole"	"NRI"	34
"3478-6"	"zokuzoku"	"vulgar"	"RNAdj"	35
"3478-6"	"dame"	"useless"	"NAdj"	36
"3478-6"	"jikkuri"	"careful"	"NRI"	37
"3478-6"	"gashigashi"	"sturdy"	"RNRI"	38
"3478-6"	"uki"	"happy"	"SRI"	39
"3478-6"	"kadokado"	"excessive"	"RNAdj"	40
"3478-6"	"kabi"	"gaudy"	"NAdj"	41
"3478-6"	"buru"	"shivering"	"SRI"	42
"3478-6"	"mojimoji"	"hesitant"	"RI"	43
"3478-6"	"fubifubi"	"deficient"	"RNAdj"	44
"3478-6"	"rakuraku"	"comfortable"	"RNAdj"	45
"3478-6"	"kukkiri"	"clear"	"NRI"	46
"3478-6"	"jimi"	"subdued"	"NAdj"	47
"3478-6"	"harahara"	"suspenseful"	"RI"	48
