"Id"	"Word"	"TrueMeaning"	"WordType"
"19-13"	"jikkuri"	"careful"	"NRI"
"19-13"	"pokapoka"	"gaping"	"RNRI"
"19-13"	"gochagocha"	"messy"	"RI"
"19-13"	"jimi"	"subdued"	"NAdj"
"19-13"	"bassari"	"resolute"	"NRI"
"19-13"	"furi"	"disadvantaged"	"NAdj"
"19-13"	"gussurigussuri"	"fast asleep"	"RNRI"
"19-13"	"hiku"	"agitated"	"SRI"
"19-13"	"kiza"	"smug"	"NAdj"
"19-13"	"gashigashi"	"sturdy"	"RNRI"
"19-13"	"ukiuki"	"happy"	"RI"
"19-13"	"zatsuzatsu"	"sloppy"	"RNAdj"
"19-13"	"muri"	"impossible"	"NAdj"
"19-13"	"raku"	"comfortable"	"NAdj"
"19-13"	"harahara"	"suspenseful"	"RI"
"19-13"	"gaku"	"dejected"	"NRI"
"19-13"	"gowa"	"stiff"	"SRI"
"19-13"	"fubi"	"deficient"	"NAdj"
"19-13"	"moji"	"hesitant"	"SRI"
"19-13"	"yaboyabo"	"tasteless"	"RNAdj"
"19-13"	"muchamucha"	"rash"	"RNAdj"
"19-13"	"kero"	"nonchalantly"	"NRI"
"19-13"	"pishapisha"	"decisive"	"RNRI"
"19-13"	"kachin"	"offended"	"NRI"
"19-13"	"sekaseka"	"hasty"	"RI"
"19-13"	"kabikabi"	"gaudy"	"RNAdj"
"19-13"	"kukkiri"	"clear"	"NRI"
"19-13"	"hisohiso"	"whispering"	"RI"
"19-13"	"debu"	"fat"	"SRI"
"19-13"	"gaya"	"noisy"	"SRI"
"19-13"	"zokuzoku"	"vulgar"	"RNAdj"
"19-13"	"kibikibi"	"energetic"	"RI"
"19-13"	"kakkirikakkiri"	"exact"	"RNRI"
"19-13"	"bakabaka"	"stupid"	"RNAdj"
"19-13"	"batchiribatchiri"	"perfect"	"RNRI"
"19-13"	"mushi"	"humid"	"SRI"
"19-13"	"moji"	"hesitant"	"SRI"
"19-13"	"raku"	"comfortable"	"NAdj"
"19-13"	"bakabaka"	"stupid"	"RNAdj"
"19-13"	"kachin"	"offended"	"NRI"
"19-13"	"bassari"	"resolute"	"NRI"
"19-13"	"gaku"	"dejected"	"NRI"
"19-13"	"furi"	"disadvantaged"	"NAdj"
"19-13"	"jimi"	"subdued"	"NAdj"
"19-13"	"gaya"	"noisy"	"SRI"
"19-13"	"jikkuri"	"careful"	"NRI"
"19-13"	"kero"	"nonchalantly"	"NRI"
"19-13"	"pishapisha"	"decisive"	"RNRI"
"19-13"	"kakkirikakkiri"	"exact"	"RNRI"
"19-13"	"gowa"	"stiff"	"SRI"
"19-13"	"kabikabi"	"gaudy"	"RNAdj"
"19-13"	"yaboyabo"	"tasteless"	"RNAdj"
"19-13"	"gashigashi"	"sturdy"	"RNRI"
"19-13"	"gochagocha"	"messy"	"RI"
"19-13"	"ukiuki"	"happy"	"RI"
"19-13"	"fubi"	"deficient"	"NAdj"
"19-13"	"muchamucha"	"rash"	"RNAdj"
"19-13"	"kukkiri"	"clear"	"NRI"
"19-13"	"hiku"	"agitated"	"SRI"
"19-13"	"debu"	"fat"	"SRI"
"19-13"	"pokapoka"	"gaping"	"RNRI"
"19-13"	"harahara"	"suspenseful"	"RI"
"19-13"	"sekaseka"	"hasty"	"RI"
"19-13"	"gussurigussuri"	"fast asleep"	"RNRI"
"19-13"	"zatsuzatsu"	"sloppy"	"RNAdj"
"19-13"	"kibikibi"	"energetic"	"RI"
"19-13"	"hisohiso"	"whispering"	"RI"
"19-13"	"kiza"	"smug"	"NAdj"
"19-13"	"mushi"	"humid"	"SRI"
"19-13"	"zokuzoku"	"vulgar"	"RNAdj"
"19-13"	"muri"	"impossible"	"NAdj"
"19-13"	"batchiribatchiri"	"perfect"	"RNRI"
