"Id"	"Word"	"TrueMeaning"	"WordType"
"4-10"	"hisohiso"	"whispering"	"RI"
"4-10"	"mushi"	"humid"	"SRI"
"4-10"	"bisshiribisshiri"	"crowded"	"RNRI"
"4-10"	"buku"	"chubby"	"SRI"
"4-10"	"sekaseka"	"hasty"	"RI"
"4-10"	"buru"	"shivering"	"SRI"
"4-10"	"gowa"	"stiff"	"SRI"
"4-10"	"kachin"	"offended"	"NRI"
"4-10"	"yawa"	"fragile"	"NAdj"
"4-10"	"potchari"	"plump"	"NRI"
"4-10"	"tokutoku"	"beneficial"	"RNAdj"
"4-10"	"baka"	"stupid"	"NAdj"
"4-10"	"moji"	"hesitant"	"SRI"
"4-10"	"debudebu"	"fat"	"RI"
"4-10"	"kiza"	"smug"	"NAdj"
"4-10"	"zatsu"	"sloppy"	"NAdj"
"4-10"	"hima"	"free"	"NAdj"
"4-10"	"kibikibi"	"energetic"	"RI"
"4-10"	"mukumuku"	"pure"	"RNAdj"
"4-10"	"batchiribatchiri"	"perfect"	"RNRI"
"4-10"	"furi"	"disadvantaged"	"NAdj"
"4-10"	"kakkirikakkiri"	"exact"	"RNRI"
"4-10"	"shinnari"	"supple"	"NRI"
"4-10"	"murimuri"	"impossible"	"RNAdj"
"4-10"	"hiku"	"agitated"	"SRI"
"4-10"	"kukkiri"	"clear"	"NRI"
"4-10"	"goso"	"whole"	"NRI"
"4-10"	"yaboyabo"	"tasteless"	"RNAdj"
"4-10"	"fubifubi"	"deficient"	"RNAdj"
"4-10"	"garagara"	"to change ocmpletely"	"RNRI"
"4-10"	"maremare"	"rare"	"RNAdj"
"4-10"	"tsuyatsuya"	"glossy"	"RI"
"4-10"	"pishapisha"	"decisive"	"RNRI"
"4-10"	"gakugaku"	"dejected"	"RNRI"
"4-10"	"boroboro"	"worn out"	"RI"
"4-10"	"musu"	"sullen"	"NRI"
"4-10"	"zatsu"	"sloppy"	"NAdj"
"4-10"	"hima"	"free"	"NAdj"
"4-10"	"murimuri"	"impossible"	"RNAdj"
"4-10"	"yawa"	"fragile"	"NAdj"
"4-10"	"sekaseka"	"hasty"	"RI"
"4-10"	"kibikibi"	"energetic"	"RI"
"4-10"	"hiku"	"agitated"	"SRI"
"4-10"	"kakkirikakkiri"	"exact"	"RNRI"
"4-10"	"kukkiri"	"clear"	"NRI"
"4-10"	"shinnari"	"supple"	"NRI"
"4-10"	"debudebu"	"fat"	"RI"
"4-10"	"baka"	"stupid"	"NAdj"
"4-10"	"gakugaku"	"dejected"	"RNRI"
"4-10"	"goso"	"whole"	"NRI"
"4-10"	"yaboyabo"	"tasteless"	"RNAdj"
"4-10"	"buku"	"chubby"	"SRI"
"4-10"	"moji"	"hesitant"	"SRI"
"4-10"	"potchari"	"plump"	"NRI"
"4-10"	"boroboro"	"worn out"	"RI"
"4-10"	"buru"	"shivering"	"SRI"
"4-10"	"hisohiso"	"whispering"	"RI"
"4-10"	"tokutoku"	"beneficial"	"RNAdj"
"4-10"	"mushi"	"humid"	"SRI"
"4-10"	"bisshiribisshiri"	"crowded"	"RNRI"
"4-10"	"musu"	"sullen"	"NRI"
"4-10"	"gowa"	"stiff"	"SRI"
"4-10"	"mukumuku"	"pure"	"RNAdj"
"4-10"	"pishapisha"	"decisive"	"RNRI"
"4-10"	"kachin"	"offended"	"NRI"
"4-10"	"fubifubi"	"deficient"	"RNAdj"
"4-10"	"garagara"	"to change ocmpletely"	"RNRI"
"4-10"	"maremare"	"rare"	"RNAdj"
"4-10"	"kiza"	"smug"	"NAdj"
"4-10"	"batchiribatchiri"	"perfect"	"RNRI"
"4-10"	"furi"	"disadvantaged"	"NAdj"
"4-10"	"tsuyatsuya"	"glossy"	"RI"
